centro_cne_id,codigo_centro,cod_estado,cod_municipio,cod_parroquia,estado,municipio,parroquia,nombre_centro,direccion,mesas,electores
010101001,10101001,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,SECTOR ALTAGRACIA DERECHA CALLE CONCORDIA. IZQUIERDA CALLE DELICIAS. FRENTE CALLE DELICIAS A CONCORDIA AL FRENTE COLEGIO BELUTINI CASA,3,2217
010101002,10101002,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA SANTA BARBARA,SECTOR SANTA BARBARA DERECHA CALLE PARAISO. IZQUIERDA CALLE DOCTOR GONZALEZ. FRENTE CALLE PARAISO FRENTE ESQUINAS DOCTOR GONZÁLEZ A PARAÍSO EDIFICIO,3,2320
010101003,10101003,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,"SECTOR TIENDA HONDA DERECHA CALLE TIENDA HONDA. IZQUIERDA CALLE SANTA BARBARA. FRENTE CALLE TIENDA HONDA A SANTA BARBARA FRENTE ESQUINAS ESTE CINCO TIENDA HONDA A ESTE CINCO SANTA BARBARA, EDIFICIO",9,6884
010101004,10101004,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA,SECTOR CASCO UNO DERECHA CALLE CEIBA. IZQUIERDA CALLE PORVENIR. FRENTE CALLE CEIBA A PORVENIR FRENTE CASA DE LA ALIMENTACIÓN Y MISIÓN VUELVAN CARAS CASA,3,1788
010101006,10101006,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,URBANIZACIÓN ALTAGRACIA DERECHA CALLE MERCEDES. IZQUIERDA CALLE MERCEDES. FRENTE CALLE MIJARES LATERAL AL BANCO CENTRAL DE VENEZUELA Y DIAGONAL A LA IGLESIA LAS MERCEDES EDIFICIO,7,4841
010101007,10101007,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,ESCUELA NACIONAL DE ARTES ESCÉNICAS CESAR RENGIFO,SECTOR CASCO II DERECHA CALLE EL CUÑO. IZQUIERDA CALLE CAJA DE AGUA. FRENTE CALLE EL CUÑO DIAGONAL A LA JUNTA PARROQUIAL DE ALTAGRACIA EDIFICIO,3,2123
010101008,10101008,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,SECTOR EL CUNO FRENTE CALLE CUNO A GUANABANO. DERECHA CALLEJÓN GUANABANO. IZQUIERDA CALLEJÓN CUNO FRENTE OESTE NUEVE Y ESQUINA CUÑO A GUANABANO EDIFICIO,7,4732
010101009,10101009,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS,SECTOR CASCO III DERECHA AVENIDA PANTEON. IZQUIERDA CALLE SANTA BARBARA A CANONIGO. FRENTE CALLE SANTA BARBARA ENTRE PANADERÍA PUENTE PÁEZ E IGLESIA SANTÍSIMA TRINIDAD CASA,4,2497
010101010,10101010,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,CENTRO DE EDUCACIÓN INICIAL RAFAEL MARIA BARALT,URBANIZACIÓN CARABALLO DERECHA CALLE LOS CUJICITOS. IZQUIERDA CALLEJÓN LOS CUJICITOS. FRENTE PASAJE BLOQUE 1 FRENTE AL CENTRO DE DIAGNOSTICO INTEGRAL (CDI) EDIFICIO,2,1367
010101025,10101025,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL ALTAGRACIA (CMAI),"SECTOR EL RETIRO DERECHA CALLE LOS EUCALIPTUS. IZQUIERDA CALLE SEGUNDA CALLE EL RETIRO. FRENTE CALLE FINAL AVENIDA BARALT INICIO DE AVENIDA COTA MIL FRENTE RESIDENCIAS VILLA DEL SUR, DIAGONAL PARADA DE AUTOBUSES COTIZA CASA",2,908
010101026,10101026,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,CENTRO DE EDUCACIÓN INICIAL SAMUEL ROBINSÓN,SECTOR EL RETIRO DERECHA CALLE TERRAZA A. IZQUIERDA CALLE PRIMERA CALLE EL RETIRO. FRENTE TRANSVERSAL ENTRE EL RETIRO Y TERRAZA A FINAL AVENIDA BARALT CON PRIMERA CALLE DEL RETIRO CASA,2,1068
010101027,10101027,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES,BARRIO SAN JOSE COTIZA FRENTE CALLE LOS EUCALIPTUS. DERECHA ESCALERA SAN MARCOS. IZQUIERDA ESCALERA SAN JUDA FRENTE AL PARQUE ANDRES GALARRAGA EDIFICIO,2,1481
010101028,10101028,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,BIBLIOTECA NACIONAL SALA UNO,"SECTOR PANTEON FRENTE AVENIDA AVENIDA PANTEON. DERECHA CALLE ESQUINA DE FE. IZQUIERDA CALLE REMEDIO FRENTE AL FINAL DE LA AVENIDA PANTEÓN, EDIFICIO",3,2267
010101031,10101031,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,CASA DE NUESTRA AMERICA JOSE MARTI,URBANIZACIÓN CASCO II DERECHA AVENIDA URDANETA. IZQUIERDA CALLE JESUITA. FRENTE BULEVAR PANTEON FRENTE A LA CASA DE HISTORIA FUNDACION MENDOZA CASA,2,1334
010101032,10101032,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA FUENTE DEL SABER,URBANIZACIÓN CASCO I DERECHA AVENIDA OESTE 5. IZQUIERDA AVENIDA OESTE 7. FRENTE AVENIDA OESTE 8 FRENTE AL PRE ESCOLAR AMADA PRESENCIA CASA,1,487
010101033,10101033,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,UNIDAD EDUCATIVA CENTRO ORIENTACIÓN PEDAGÓGICA ANDRÉS ELOY BLANCOELOY BLANCO,URBANIZACIÓN CASCO 1 FRENTE AVENIDA OESTE 8. DERECHA CALLE PINEDA. IZQUIERDA CALLE OESTE 5 ESQUINA TORO A DOS CUADRA DETRÁS DE MIRAFLORES CASA,1,509
010101035,10101035,1,1,1,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. ALTAGRACIA,CASA VILLAS DEL SOL,URBANIZACIÓN VILLAS DEL SOL IZQUIERDA CALLE PRINCIPAL LOS EUCALIPTUS. DERECHA CALLEJÓN SANTA EDUVIGIS. FRENTE CALLEJÓN CARMEN CLEMENTE TRAVIEZO FRENTE A CANCHA DEPORTIVA CASA,1,284
010102004,10102004,1,1,2,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. CANDELARIA,ESCUELA MUNICIPAL JOSÉ RAMÓN CAMEJO,SECTOR SARRÍA DERECHA CALLE SAN PEDRO. IZQUIERDA CALLE SANTO DOMINGO. FRENTE CALLE REAL DE SARRÍA FRENTE AL MÓDULO DE BARRIO ADENTRO CASA,3,1674
010102005,10102005,1,1,2,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. CANDELARIA,COLEGIO LA VIRGEN NIÑA,SECTOR SARRIA DERECHA CALLE SAN PEDRO. IZQUIERDA CALLE SANTO DOMINGO. FRENTE CALLE REAL DE SARRÍA FRENTE A LA MUEBLERÍA COMERCIAL DECODAN. C.A. CASA,3,2107
010102006,10102006,1,1,2,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. CANDELARIA,COLEGIO SAN FRANCISCO DE SALES,URBANIZACIÓN CANDELARIA FRENTE AVENIDA ANDRES BELLO. DERECHA CALLE SALESIANO. IZQUIERDA CALLE PARADERO FRENTE A LA TORRE FUNDACION DEL NIÑO CASA,6,4226
010102007,10102007,1,1,2,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. CANDELARIA,ESCUELA BASICA JOSEFINA DAVIOT,URBANIZACIÓN CANDELARIA DERECHA AVENIDA VENUS. FRENTE AVENIDA PARADERO. IZQUIERDA CALLE ESQUINA PARADERO FRENTE AL EDIFICIO SAN JOSE DEL AVILA A 50 METROS DE LA CRUZ ROJA INTERNACIONAL CASA,3,1654
010102008,10102008,1,1,2,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. CANDELARIA,ESCUELA EXPERIMENTAL VENEZUELA,URBANIZACIÓN CANDELARIA LOS CAOBOS DERECHA AVENIDA SUR 23. IZQUIERDA AVENIDA ESTE DOS. FRENTE AVENIDA MÉXICO A LA IZQUIERDA PLAZA MORELOS FRENTE AL HOTEL ALBA EDIFICIO,7,5126
010102009,10102009,1,1,2,DTTO. CAPITAL,MP. BLVNO LIBERTADOR,PQ. CANDELARIA,PATRONATO SAN JOSÉ DE TARBES,URBANIZACIÓN CANDELARIA DERECHA AVENIDA SUR 23. IZQUIERDA AVENIDA SUR 21. FRENTE AVENIDA ESTE 2 FRENTE A LA CLÍNICA BRICEÑO ROSSI CASA,4,3046
