estado,electores_inscritos,participacion,pct_participacion,maduro_votos,falcon_votos,bertucci_votos,quijada_votos
Amazonas,109849,58828,53.83,35641,16759,5425,131
Anzoategui,1111436,544698,49.13,325836,129088,79211,1414
Apure,350857,187093,53.58,127849,32281,23514,421
Aragua,1275083,616010,48.42,430439,119269,49424,3807
Barinas,579179,249629,43.19,146811,72397,26488,348
Bolivar,1014634,438653,43.60,259198,61776,107440,3931
Carabobo,1625817,737383,45.38,475509,113920,130813,3872
Cojedes,255306,158276,62.45,103847,39087,11398,358
Delta Amacuro,124289,74076,60.23,49629,13356,9531,363
Distrito Capital,1697224,757649,44.65,522012,142352,61954,4525
Falcon,692045,335489,48.48,195076,81743,50361,1597
Guarico,556277,291949,52.61,211049,43551,30949,1600
Lara,1325181,668035,50.44,439108,164646,52130,1180
Merida,620649,229565,37.00,149129,59994,13879,496
Miranda,2120231,888863,41.94,664309,142051,62010,2971
Monagas,650615,343623,52.93,219544,79574,37200,2063
Nueva Esparta,363129,164088,45.35,113101,35347,12132,374
Portuguesa,641463,373230,58.19,243032,81663,42450,640
Sucre,672840,372036,55.74,244672,91159,30682,761
Tachira,845095,234598,27.76,155633,53832,17958,965
Trujillo,548135,293023,53.54,185878,79444,21294,640
Vargas,293727,141275,48.30,101630,25539,8213,727
Yaracuy,452331,293728,65.07,180200,86062,18928,966
Zulia,2493001,937259,37.66,669646,162951,93252,2282
