codigo_centro,codigo_cne_original,nombre_centro,estado,municipio,parroquia,num_mesas,electores_inscritos,votantes,votos_validos,votos_nulos,votos_gobierno,votos_oposicion,votos_otros,votos_falcon,votos_bertucci_quijada,pct_gobierno,pct_oposicion,pct_otros,participacion,detalle_otros_json,fuente,doi,corte_fuente
010101001,10101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,2221,814,779,35,495,198,86,198,86,63.543004,25.417202,11.039795,36.650158,"{""bertucci_quijada"":86,""falcon"":198}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101002,10101002,UNIDAD EDUCATIVA SANTA BARBARA,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,2319,857,813,44,500,200,113,200,113,61.500615,24.600246,13.899139,36.955584,"{""bertucci_quijada"":113,""falcon"":200}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101003,10101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,9,6883,1903,1845,58,1102,552,191,552,191,59.728997,29.918699,10.352304,27.647828,"{""bertucci_quijada"":191,""falcon"":552}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101004,10101004,UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,1777,777,736,41,530,134,72,134,72,72.01087,18.206522,9.782609,43.72538,"{""bertucci_quijada"":72,""falcon"":134}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101006,10101006,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,7,4832,1952,1898,54,1289,429,180,429,180,67.913593,22.60274,9.483667,40.397351,"{""bertucci_quijada"":180,""falcon"":429}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101007,10101007,ESCUELA NACIONAL DE ARTES ESCÉNICAS CESAR RENGIFO,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,3,2114,820,789,31,519,185,85,185,85,65.779468,23.447402,10.773131,38.789026,"{""bertucci_quijada"":85,""falcon"":185}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101008,10101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,7,4730,1829,1772,57,1189,408,175,408,175,67.099323,23.024831,9.875847,38.668076,"{""bertucci_quijada"":175,""falcon"":408}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101009,10101009,UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,4,2496,736,707,29,471,154,82,154,82,66.619519,21.782178,11.598303,29.487179,"{""bertucci_quijada"":82,""falcon"":154}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101010,10101010,CENTRO DE EDUCACIÓN INICIAL RAFAEL MARIA BARALT,DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,2,1363,762,747,15,486,197,64,197,64,65.060241,26.372155,8.567604,55.90609,"{""bertucci_quijada"":64,""falcon"":197}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
010101025,10101025,CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL ALTAGRACIA (CMAI),DTTO. CAPITAL,LIBERTADOR,ALTAGRACIA,2,906,547,528,19,387,95,46,95,46,73.295455,17.992424,8.712121,60.375276,"{""bertucci_quijada"":46,""falcon"":95}",venpres_a,10.7910/DVN/NO1XJ2,VENPRES-A v1.1; voto_c tratado como votantes y validos recalculados desde candidatos
