nombre,lat,lon,riesgo
AEROPUERTO LA GREDA,10.1558,-70.0761,1
ALCALDIA CATEDRAL,10.0738,-69.31,1
ALDEA BOLIVARIANA - LA PAZ,9.55168,-70.4606,1
ALDEA UNIVERSITARIA BOLIVARIANA MISION SUCRE,10.163,-68.5652,1
ALDEA UNIVERSITARIA CORONELA MANUELITA SAENZ,10.4667,-66.6168,1
ALDEA UNIVERSITARIA METROPOLITANA DE ACARIGUA-ARAURE,9.5637,-69.2107,1
ALDEA UNIVERSITARIA MISION SUCRE COCOROTE,10.319,-68.7847,1
ALDEA UNIVERSITARIA MISION SUCRE INDEPENDENCIA,10.324,-68.7338,1
ALDEA UNIVERSITARIA NUEVA LUCHA FUNDACION MISION SUCRE,10.7301,-71.7246,1
AMBULATORIO ALFALLANOS,9.22096,-66.0006,1
AMBULATORIO ASISTENCIAL PASTOR OROPEZA (CLARET),10.0663,-69.2993,1
AMBULATORIO DOCTOR ANGEL LARRALDE,10.3339,-67.0911,1
AMBULATORIO PUEBLO NUEVO,10.0559,-69.3682,1
AMBULATORIO RURAL I SANTA ISABEL,10.0593,-69.3754,1
AMBULATORIO URBANIZACION EL CORIANO,10.0251,-69.4203,1
AMBULATORIO URBANO TIPO 1 DOCTOR ANGEL GUEDES,10.4653,-66.8639,1
ANEXO DEL INSTITUTO UNIVERSITARIO DE TECNOLOGIA INDUSTRIAL RODOLFO LOERO ARISMENDI (IUTIRLA),10.6019,-66.9335,1
ANEXO UNIDAD EDUCATIVA ESTADO NUEVA ESPARTA,10.4725,-64.1536,1
ASILO DE ANCIANOS,9.56302,-69.212,1
ASILO DE ANCIANOS SAN VICENTE DE PAUL,10.4539,-64.1833,1
ASOCIACION DESARROLLO INTEGRAL COMUNITARIO,10.4374,-66.8794,1
ASOCIACION MONSEÑOR SALAS,9.21626,-65.9902,1
ATENEO DE BOCONO,9.24624,-70.2737,1
ATENEO DE CABUDARE,10.0328,-69.2643,1
ATENEO LOS TEQUES ANTIGUA QUINTA SAN JOSE,10.3468,-67.0411,1
AULAS ANEXAS EDELMIRA LOBO,8.55887,-71.2531,1
BACHILLER EGIDIO MONTESINOS,10.6153,-71.6565,1
BIBLIOTECA ANDRES ELOY BLANCO,8.62942,-70.2121,1
BIBLIOTECA JOSE FELIX RIBAS,10.4843,-66.7963,1
BIBLIOTECA MAHATMA GANDHI,10.0913,-69.3119,1
BIBLIOTECA MISIA INFANTE,10.4769,-66.807,1
BIBLIOTECA PUBLICA CAMPO RICO,10.4822,-66.8168,1
BIBLIOTECA PUBLICA DOCTOR RAUL LEONI,10.4645,-66.8307,1
BIBLIOTECA PUBLICA JULIAN PADRON,9.73271,-63.1761,1
BIBLIOTECA PUBLICA PAUL HARRIS,10.4803,-66.8209,1
BIBLIOTECA PUBLICA PILOTO LA URBINA,10.4977,-66.7792,1
BIBLIOTECA PUBLICA PRESBITERO JUAN BAUTISTA SOLERI,7.81992,-72.2242,1
BIBLIOTECA PUBLICA SIMON BOLIVAR,9.07519,-62.0655,1
C.E.I  EL ARAGUANEY,9.5724,-69.2,1
CAMARA DE INDUSTRIALES DEL ESTADO BOLIVARIANO DE MIRANDA,10.4826,-66.8463,1
CANCHA ASOCIACION DE VECINOS URBANIZACION EL LLANITO,10.4658,-66.8069,1
CANCHA DEL BARRIO METROPOLITANO,10.4965,-66.7937,1
CANCHA TECHADA EL ESCARABAJO II,10.0302,-69.359,1
CANCHA TECHADA JOSE GREGORIO HERNANDEZ II,10.0366,-69.3837,1
CANCHA TECHADA JOSE LEONARDO RUIZ PINEDA,10.0408,-69.3854,1
CANCHA TECHADA LA BOMBILLA SECTOR 3,10.4901,-66.7949,1
CANCHA TECHADA LA LAGUNITA,10.0786,-69.3024,1
CASA BOLIVARIANA DE LA MUJER LA CONSTITUYENTE,9.75056,-63.1174,1
CASA COMUNAL,9.06064,-62.053,1
CASA COMUNAL (AMBIENTE ROBINSON),10.0706,-69.3777,1
CASA COMUNAL ALCABALA,10.494,-66.8014,1
CASA COMUNAL ANTONIO JOSE DE SUCRE,10.4961,-66.7943,1
CASA COMUNAL CARIBE II SECTOR II,10.0276,-69.4054,1
CASA COMUNAL EL CAIMITO,10.6067,-66.8468,1
CASA COMUNAL LA ANTENA,10.0848,-69.3448,1
CASA COMUNAL LA HACIENDA,10.0467,-69.2597,1
CASA COMUNAL LA NUEVA PAZ,10.0439,-69.4059,1
CASA COMUNAL PINAL II PARTE ALTA,10.4643,-66.6156,1
CASA COMUNAL URBANIZACION NUEVA SEGOVIA,10.0614,-69.2946,1
CASA COMUNITARIA JULIAN BLANCO,10.4907,-66.7905,1
CASA CUNA PETARE,10.4766,-66.8071,1
CASA DE ABRIGO DOCTOR FORTUNATO ORELLANA,10.0645,-69.3409,1
CASA DE ABRIGO JOSE MERCEDES SANTELIZ,9.76806,-63.1402,1
CASA DE LA CULTURA ARMANDO REVERON,10.4647,-66.7642,1
CASA DE LA CULTURA CANTARRANA,10.4313,-64.1338,1
CASA DE LA CULTURA DEL PASO ALI LANDAETA,10.3535,-67.0618,1
CASA DE LA CULTURA FRANCISCO LAZO MARTÍ,8.93337,-67.4283,1
CASA DE LA CULTURA JOSE FELIX RIBAS,10.4885,-66.7985,1
CASA DE LA CULTURA JUAN FERMIN MILLAN,10.9946,-63.8339,1
CASA DE LA CULTURA LORENZO RUBIN ZAMORA,9.20491,-66.0001,1
CASA DE LA CULTURA PUEBLO DE LA MAR RAMON VASQUEZ BRITO,10.9721,-63.8354,1
CASA DE LA CULTURA SAN PEDRO,10.4705,-66.5422,1
CASA DE LA CULTURA UBALDO LIRA,10.4768,-66.8058,1
CASA DE LOS NIÑOS DELTANOS,9.0725,-62.0676,1
CASA DE LOS NIÑOS LOS PIRINEOS,7.7712,-72.2213,1
CASA DE LOS NIÑOS WANADI CENTRO RECREATIVO,5.65967,-67.6153,1
CASA DE NIÑOS MARIA EVA DE LISCANO,9.73433,-63.1857,1
CASA DE SALUD,9.04779,-69.7472,1
CASA DE TODOS Y JUSTICIA DE PAZ,10.4338,-66.8758,1
CASA DEL ABUELO,10.0477,-69.3519,1
CASA DEL NIÑO Y ADOLESCENTE  TRABAJADOR EL MILAGRO,9.30586,-70.6004,1
CASA HOGAR  DOCTOR LUIS LIZARRAGA,10.3347,-68.7383,1
CASA PARROQUIAL DE GUATIRE,10.4714,-66.5408,1
CASA PARROQUIAL ZORCA SAN ISIDRO,7.80422,-72.262,1
CASA SINDICAL,10.0788,-69.3312,1
CASA SINDICAL LUIS MORENO,10.4727,-66.5434,1
CASA TALLER LUISA CACERES DE ARISMENDI,10.4566,-66.6142,1
CEI LAS ESPERANZAS,9.24241,-70.277,1
CENTRO  INICIAL  BOLIVARIANO CAMINO NUEVO,10.075,-69.1424,1
CENTRO (MOVIL) SECTOR SANTA EDUVIGES,10.5942,-66.996,1
CENTRO AMBULATORIO DOCTOR DILIO SEQUERA PERAZA IVSS,10.5055,-66.8943,1
CENTRO CIVICO MANUEL RAMOS MARCOS,10.4547,-66.8274,1
CENTRO COMUNAL GUARENAS,10.467,-66.6202,1
CENTRO COMUNITARIO C E N C O N,10.4779,-66.8009,1
CENTRO COMUNITARIO DE PROTECCION Y DESARROLLO ESTUDIANTIL,10.0868,-69.3381,1
CENTRO COMUNITARIO LA FLORIDA,9.13074,-62.0697,1
CENTRO CULTURAL DALIA FERNANDEZ,10.5638,-71.6587,1
CENTRO CULTURAL MAGO,10.4557,-66.621,1
CENTRO CULTURAL MIGUEL PARRA,10.4708,-66.6137,1
CENTRO DE ATENCION INTEGRAL,9.04503,-69.7257,1
CENTRO DE ATENCION INTEGRAL AL CIUDADANO,10.4862,-66.7491,1
CENTRO DE BELLAS ARTES AMANDA MUÑOZ,9.0542,-69.7314,1
CENTRO DE DESARROLLO DESTREZAS COGNITIVAS TIERNO AMANECER,10.0824,-69.2911,1
CENTRO DE EDUC. ESPECIAL AMAZONAS,5.66707,-67.6279,1
CENTRO DE EDUCACION  INICIAL BOLIVARIANO  IGNACIO GREGORIO MENDEZ,10.3273,-68.7443,1
CENTRO DE EDUCACION  INICIAL YURUBI,10.3449,-68.7538,1
CENTRO DE EDUCACION INCIAL FRANCISCO JAVIER USTARIZ,10.1485,-68.5695,1
