centro_cne_id,votos_gobierno,votos_oposicion,votos_validos,votos_otros,pct_gobierno,pct_oposicion
010101001,374.0,919.0,1333,40.0,28.06,68.94
010101002,376.0,922.0,1347,49.0,27.91,68.45
010101003,699.0,2243.0,3030,88.0,23.07,74.03
010101004,372.0,667.0,1080,41.0,34.44,61.76
010101006,635.0,1181.0,1880,64.0,33.78,62.82
010101007,354.0,799.0,1189,36.0,29.77,67.2
010101008,779.0,1852.0,2704,73.0,28.81,68.49
010101009,351.0,1112.0,1510,47.0,23.25,73.64
010101010,292.0,534.0,861,35.0,33.91,62.02
010101026,311.0,413.0,746,22.0,41.69,55.36
010101031,205.0,378.0,604,21.0,33.94,62.58
010101033,211.0,348.0,580,21.0,36.38,60.0
010101036,141.0,116.0,264,7.0,53.41,43.94
010101037,90.0,72.0,172,10.0,52.33,41.86
010101039,92.0,139.0,238,7.0,38.66,58.4
010102004,412.0,567.0,1016,37.0,40.55,55.81
010102006,305.0,1378.0,1725,42.0,17.68,79.88
010102008,635.0,1591.0,2292,66.0,27.71,69.42
010102009,240.0,1264.0,1540,36.0,15.58,82.08
010102010,258.0,806.0,1106,42.0,23.33,72.88
010102011,387.0,1453.0,1883,43.0,20.55,77.16
010102012,184.0,553.0,765,28.0,24.05,72.29
010102013,71.0,269.0,359,19.0,19.78,74.93
010102014,279.0,1057.0,1371,35.0,20.35,77.1
010102015,278.0,979.0,1286,29.0,21.62,76.13
010102017,517.0,1640.0,2228,71.0,23.2,73.61
010102018,126.0,398.0,540,16.0,23.33,73.7
010102019,111.0,403.0,531,17.0,20.9,75.89
010102021,54.0,49.0,104,1.0,51.92,47.12
010102024,97.0,37.0,135,1.0,71.85,27.41
010103001,2330.0,1268.0,3666,68.0,63.56,34.59
010103002,252.0,306.0,578,20.0,43.6,52.94
010103004,324.0,508.0,854,22.0,37.94,59.48
010103005,743.0,607.0,1381,31.0,53.8,43.95
010103006,436.0,688.0,1169,45.0,37.3,58.85
010103010,704.0,451.0,1179,24.0,59.71,38.25
010103011,90.0,53.0,147,4.0,61.22,36.05
010104001,198.0,587.0,816,31.0,24.26,71.94
010104003,118.0,288.0,423,17.0,27.9,68.09
010104004,938.0,1668.0,2697,91.0,34.78,61.85
010104005,232.0,393.0,653,28.0,35.53,60.18
010104012,467.0,1477.0,2029,85.0,23.02,72.79
010104014,137.0,313.0,477,27.0,28.72,65.62
010104018,348.0,939.0,1343,56.0,25.91,69.92
010104022,541.0,1319.0,1918,58.0,28.21,68.77
010104024,482.0,1005.0,1545,58.0,31.2,65.05
010104026,169.0,274.0,461,18.0,36.66,59.44
010104028,335.0,782.0,1154,37.0,29.03,67.76
010104029,475.0,972.0,1506,59.0,31.54,64.54
010104030,393.0,1256.0,1695,46.0,23.19,74.1
010104031,161.0,568.0,768,39.0,20.96,73.96
010104032,122.0,249.0,384,13.0,31.77,64.84
010104033,660.0,1442.0,2187,85.0,30.18,65.94
010104034,80.0,239.0,326,7.0,24.54,73.31
010104036,149.0,346.0,518,23.0,28.76,66.8
010104037,129.0,223.0,367,15.0,35.15,60.76
010104039,136.0,271.0,416,9.0,32.69,65.14
010104040,108.0,350.0,469,11.0,23.03,74.63
010104045,172.0,302.0,495,21.0,34.75,61.01
010104046,519.0,917.0,1495,59.0,34.72,61.34
010104047,192.0,236.0,455,27.0,42.2,51.87
010104048,104.0,136.0,252,12.0,41.27,53.97
010104049,66.0,74.0,145,5.0,45.52,51.03
010104052,308.0,296.0,619,15.0,49.76,47.82
010104053,232.0,478.0,745,35.0,31.14,64.16
010104054,98.0,72.0,177,7.0,55.37,40.68
010104056,173.0,140.0,325,12.0,53.23,43.08
