codigo_centro,codigo_cne_nuevo,codigo_viejo,codigo_cne_viejo,nombre_centro,num_electores,num_mesas,votos_validos,votos_gobierno,votos_oposicion,votos_otros,votos_nulos,total_votos,pct_gobierno,pct_oposicion,participacion,fuente_url
010101001,010101001,40,40,UNID BASC MADARIAGA,2161,4,1584,646,938,0,36,1620,40.78,59.22,74.97,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101002,010101002,41,41,U.E.P. SANTA BARBARA,1860,4,1463,687,776,0,22,1485,46.96,53.04,79.84,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101003,010101003,60,60,UND EDUC COLEGIO LA SALLE,5856,11,4317,1426,2891,0,61,4378,33.03,66.97,74.76,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101004,010101004,70,70,ESC BASC DR FRANCISCO MENDOZA,1576,3,1150,570,580,0,31,1181,49.57,50.43,74.94,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101005,010101005,81,81,UNID EDUC CENTRAL DE EDUCACION,1403,3,935,387,548,0,19,954,41.39,58.61,68.0,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101006,010101006,82,82,COL UNIV FRANCISCO DE MIRANDA,4457,8,3310,1657,1653,0,76,3386,50.06,49.94,75.97,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101007,010101007,89,89,ESC DE ARTES ESCENICAS CESAR RENGIFO,2243,4,1564,730,834,0,42,1606,46.68,53.32,71.6,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101008,010101008,90,90,INST BAS SIMON BOLIVAR,4024,8,2887,1373,1514,0,58,2945,47.56,52.44,73.19,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101009,010101009,100,100,UNID EDUC SANTA TERESA DEL NIO JESUS,2249,4,1588,447,1141,0,19,1607,28.15,71.85,71.45,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101010,010101010,704,704,JARDIN DE INF RAFAEL M BARALT,1320,3,921,556,365,0,24,945,60.37,39.63,71.59,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101025,010101025,42,42,CENTRO MUNICIPAL DE ATENCION INTEGRAL ALTAGRACIA (CMAI),666,2,539,414,125,0,8,547,76.81,23.19,82.13,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010101026,010101026,43,43,CENTRO DE EDUCACION INICIAL SAMUEL ROBINSON,513,1,424,305,119,0,6,430,71.93,28.07,83.82,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102004,010102004,160,160,ESCUELA MUNICIPAL JOSE RAMON CAMEJO,1331,3,879,450,429,0,29,908,51.19,48.81,68.22,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102005,010102005,170,170,COLEGIO LA VIRGEN NI/A,1622,3,1141,565,576,0,29,1170,49.52,50.48,72.13,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102006,010102006,180,180,COL SAN FRANCISCO DE SALES,3880,7,2841,797,2044,0,51,2892,28.05,71.95,74.54,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102007,010102007,190,190,ESC BASC JOSEFINA DAVIOT,1653,3,1128,316,812,0,25,1153,28.01,71.99,69.75,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102008,010102008,200,200,ESCUELA EXPERIMENTAL VENEZUELA,4460,8,3252,1127,2125,0,59,3311,34.66,65.34,74.24,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102009,010102009,201,201,PATRONATO SAN JOSE DE TARBES,2502,5,1995,446,1549,0,21,2016,22.36,77.64,80.58,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102010,010102010,210,210,LICEO ANDRES BELLO,11534,21,8081,2824,5257,0,165,8246,34.95,65.05,71.49,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102011,010102011,220,220,ESC BASC NAC JOSE ANGEL ALAMO,6242,11,4108,1204,2904,0,81,4189,29.31,70.69,67.11,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102012,010102012,221,221,OFIC.DEL MINISTERIO DEL TRABAJO,1732,3,1293,453,840,0,29,1322,35.03,64.97,76.33,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102013,010102013,230,230,UNID EDUC LICEO ALCAZAR,3201,6,2094,607,1487,0,50,2144,28.99,71.01,66.98,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
010102014,010102014,231,231,UNID EDUC COLEGIO LUIS DE CAMOES,2014,4,1414,359,1055,0,27,1441,25.39,74.61,71.55,https://web.archive.org/web/20101006061251id_/http://esdata.info/resultados/ENMIENDA2009_2boletin.xls.zip
