codigo_centro,codigo_cne_nuevo,codigo_viejo,codigo_cne_viejo,nombre_centro,num_electores,num_mesas,num_mesas_escrutadas,num_mesas_sin_resultado,votos_validos,votos_gobierno,votos_oposicion,votos_otros,votos_bloques_validos,votos_A_si,votos_A_no,votos_B_si,votos_B_no,pct_gobierno,pct_oposicion,fuente_url
010101001,010101001,40,40,UNID BASC MADARIAGA,2048,4,3,1,1014,382,632,0,2027,384,628,379,636,37.67,62.33,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101002,010101002,41,41,U.E.P. SANTA BARBARA,1606,3,3,0,1119,492,627,0,2238,491,622,493,632,43.97,56.03,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101003,010101003,60,60,UND EDUC COLEGIO LA SALLE,5592,10,10,0,3730,1160,2570,0,7460,1170,2565,1151,2574,31.1,68.9,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101004,010101004,70,70,ESC BASC DR FRANCISCO MENDOZA,1458,3,3,0,960,432,528,0,1920,432,526,431,531,45.0,55.0,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101005,010101005,81,81,UNID EDUC CENTRAL DE EDUCACION,1362,3,3,0,811,307,504,0,1622,306,497,308,511,37.85,62.15,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101006,010101006,82,82,COL UNIV FRANCISCO DE MIRANDA,4275,8,8,0,2808,1349,1459,0,5617,1355,1449,1343,1470,48.04,51.96,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101007,010101007,89,89,ESC DE ARTES ESCENICAS CESAR RENGIFO,2165,4,4,0,1394,620,774,0,2788,621,777,618,772,44.48,55.52,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101008,010101008,90,90,INST BAS SIMON BOLIVAR,3839,7,7,0,2376,1092,1284,0,4753,1095,1286,1090,1282,45.96,54.04,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101009,010101009,100,100,UNID EDUC SANTA TERESA DEL NI#O JESUS,2164,4,4,0,1360,351,1009,0,2721,354,1009,349,1009,25.81,74.19,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101010,010101010,704,704,JARDIN DE INF RAFAEL M BARALT,1239,3,3,0,718,432,286,0,1435,434,284,429,288,60.17,39.83,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010101026,010101026,43,43,CENTRO DE EDUCACION INICIAL SAMUEL ROBINSON,375,1,1,0,289,197,92,0,578,197,90,197,94,68.17,31.83,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102004,010102004,160,160,ESCUELA MUNICIPAL JOSE RAMON CAMEJO,1342,3,3,0,770,373,397,0,1539,374,396,372,397,48.44,51.56,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102005,010102005,170,170,COLEGIO LA VIRGEN NI/A,1575,3,2,1,680,323,357,0,1361,331,355,316,359,47.5,52.5,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102006,010102006,180,180,COL SAN FRANCISCO DE SALES,3815,7,6,1,2153,565,1588,0,4306,569,1583,561,1593,26.24,73.76,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102007,010102007,190,190,ESC BASC JOSEFINA DAVIOT,1662,3,3,0,1065,286,779,0,2130,286,780,287,777,26.85,73.15,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102008,010102008,200,200,ESCUELA EXPERIMENTAL VENEZUELA,4386,8,7,1,2548,826,1722,0,5095,831,1713,820,1731,32.42,67.58,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102009,010102009,201,201,PATRONATO SAN JOSE DE TARBES,2329,4,4,0,1701,364,1337,0,3402,369,1331,360,1342,21.4,78.6,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102010,010102010,210,210,LICEO ANDRES BELLO,11187,21,20,1,6718,2168,4550,0,13437,2183,4540,2154,4560,32.27,67.73,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102011,010102011,220,220,ESC BASC NAC JOSE ANGEL ALAMO,6191,12,12,0,3724,995,2729,0,7447,1007,2722,982,2736,26.72,73.28,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102012,010102012,221,221,OFIC.DEL MINISTERIO DEL TRABAJO,1673,3,3,0,1146,397,749,0,2291,400,745,393,753,34.64,65.36,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102013,010102013,230,230,UNID EDUC LICEO ALCAZAR,3150,6,5,1,1542,429,1113,0,3083,432,1110,425,1116,27.82,72.18,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102014,010102014,231,231,UNID EDUC COLEGIO LUIS DE CAMOES,1934,4,4,0,1244,306,938,0,2487,310,930,301,946,24.6,75.4,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102015,010102015,241,241,INST.UNITARIO DEL CENTRO,3272,6,6,0,2019,498,1521,0,4038,504,1516,493,1525,24.67,75.33,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102017,010102017,161,161,IPOSTEL,674,2,2,0,461,198,263,0,922,199,262,197,264,42.95,57.05,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
010102018,010102018,162,162,COLEGIO DORA BURGUE—O,123,1,1,0,90,31,59,0,181,31,59,32,59,34.44,65.56,https://web.archive.org/web/20101006101346id_/http://esdata.info/resultados/resultados_elecc_2007.xls.zip
