"codigo_centro","codigo_cne_nuevo","codigo_viejo","codigo_cne_viejo","nombre_centro","rep_2004","votos_validos","votos_gobierno","votos_oposicion","votos_otros","votos_nulos","total_votos","pct_gobierno","pct_oposicion","participacion","tipo_centro","fuente_url"
"010101001","010101001","40","40","UNID BASC MADARIAGA","1979","1342","627","715","0","0","1342","46.72","53.28","67.81","Computarizado","https://web.archive.org/web/20071116040702id_/http://www.esdata.info:80/centro/40"
"010101002","010101002","41","41","UNID EDUC EL NAZARENO","1243","945","472","473","0","0","945","49.95","50.05","76.03","Computarizado","https://web.archive.org/web/20071114071425id_/http://www.esdata.info:80/centro/41"
"010101003","010101003","60","60","UND EDUC COLEGIO LA SALLE","5374","3714","1346","2368","0","0","3714","36.24","63.76","69.11","Computarizado","https://web.archive.org/web/20071116040717id_/http://www.esdata.info:80/centro/60"
"010101004","010101004","70","70","ESC BASC DR FRANCISCO MENDOZA","1215","873","416","457","0","0","873","47.65","52.35","71.85","Computarizado","https://web.archive.org/web/20071116040837id_/http://www.esdata.info:80/centro/70"
"010101005","010101005","81","81","UNID EDUC CENTRAL DE EDUCACION","1366","859","363","496","0","0","859","42.26","57.74","62.88","Computarizado","https://web.archive.org/web/20071114012613id_/http://www.esdata.info:80/centro/81"
"010101006","010101006","82","82","COL UNIV FRANCISCO DE MIRANDA","3591","2539","1347","1192","0","0","2539","53.05","46.95","70.7","Computarizado","https://web.archive.org/web/20071116040857id_/http://www.esdata.info:80/centro/82"
"010101008","010101008","90","90","INST BAS SIMON BOLIVAR","5405","3663","1878","1785","0","0","3663","51.27","48.73","67.77","Computarizado","https://web.archive.org/web/20071116055241id_/http://www.esdata.info:80/centro/90"
"010101009","010101009","100","100","UNID EDUC SANTA TERESA DEL NI","2115","1402","426","976","0","0","1402","30.39","69.61","66.29","Computarizado","https://web.archive.org/web/20071116040410id_/http://www.esdata.info:80/centro/100"
"010101010","010101010","704","704","JARDIN DE INF RAFAEL M BARALT","892","634","418","216","0","0","634","65.93","34.07","71.08","Computarizado","https://web.archive.org/web/20071116040847id_/http://www.esdata.info:80/centro/704"
"010102004","010102004","160","160","ESCUELA MUNICIPAL JOSE RAMON CAMEJO","1405","922","515","407","0","0","922","55.86","44.14","65.62","Computarizado","https://web.archive.org/web/20071116033558id_/http://www.esdata.info:80/centro/160"
"010102005","010102005","170","170","COLEGIO LA VIRGEN NI","1374","965","523","442","0","0","965","54.2","45.8","70.23","Computarizado","https://web.archive.org/web/20071116033618id_/http://www.esdata.info:80/centro/170"
"010102006","010102006","180","180","COL SAN FRANCISCO DE SALES","3505","2437","767","1670","0","0","2437","31.47","68.53","69.53","Computarizado","https://web.archive.org/web/20071116033623id_/http://www.esdata.info:80/centro/180"
"010102007","010102007","190","190","ESC BASC JOSEFINA DAVIOT","1615","1064","358","706","0","0","1064","33.65","66.35","65.88","Computarizado","https://web.archive.org/web/20071116033628id_/http://www.esdata.info:80/centro/190"
"010102008","010102008","200","200","ESCUELA EXPERIMENTAL VENEZUELA","4199","2928","1059","1869","0","0","2928","36.17","63.83","69.73","Computarizado","https://web.archive.org/web/20071116033633id_/http://www.esdata.info:80/centro/200"
"010102009","010102009","201","201","PATRONATO SAN JOSE DE TARBES","2010","1533","403","1130","0","0","1533","26.29","73.71","76.27","Computarizado","https://web.archive.org/web/20071116054900id_/http://www.esdata.info:80/centro/201"
"010102010","010102010","210","210","LICEO ANDRES BELLO","10470","7169","2620","4549","0","0","7169","36.55","63.45","68.47","Computarizado","https://web.archive.org/web/20071114062337id_/http://www.esdata.info:80/centro/210"
"010102011","010102011","220","220","ESC BASC NAC JOSE ANGEL ALAMO","6272","3916","1198","2718","0","0","3916","30.59","69.41","62.44","Computarizado","https://web.archive.org/web/20071116033659id_/http://www.esdata.info:80/centro/220"
"010102012","010102012","221","221","OFIC.DEL MINISTERIO DEL TRABAJO","1181","844","315","529","0","0","844","37.32","62.68","71.46","Computarizado","https://web.archive.org/web/20071116033704id_/http://www.esdata.info:80/centro/221"
"010102013","010102013","230","230","UNID EDUC LICEO ALCAZAR","3057","1884","591","1293","0","0","1884","31.37","68.63","61.63","Computarizado","https://web.archive.org/web/20071116033709id_/http://www.esdata.info:80/centro/230"
"010102014","010102014","231","231","UNID EDUC COLEGIO LUIS DE CAMOES","1869","1220","298","922","0","0","1220","24.43","75.57","65.28","Computarizado","https://web.archive.org/web/20071116033715id_/http://www.esdata.info:80/centro/231"
