codigo_centro,nombre_centro,direccion,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,numero_mesa,electores,circuito_an,lat,lon,riesgo
010101027,UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES,BARRIO SAN JOSE COTIZA FRENTE CALLE LOS EUCALIPTUS. DERECHA ESCALERA SAN MARCOS. IZQUIERDA ESCALERA SAN JUDA FRENTE AL PARQUE ANDRES GALARRAGA EDIFICIO,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,485,2,,,1
010101027,UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES,BARRIO SAN JOSE COTIZA FRENTE CALLE LOS EUCALIPTUS. DERECHA ESCALERA SAN MARCOS. IZQUIERDA ESCALERA SAN JUDA FRENTE AL PARQUE ANDRES GALARRAGA EDIFICIO,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,488,2,,,1
010101027,UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES,BARRIO SAN JOSE COTIZA FRENTE CALLE LOS EUCALIPTUS. DERECHA ESCALERA SAN MARCOS. IZQUIERDA ESCALERA SAN JUDA FRENTE AL PARQUE ANDRES GALARRAGA EDIFICIO,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,467,2,,,1
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,SECTOR ALTAGRACIA DERECHA CALLE CONCORDIA. IZQUIERDA CALLE DELICIAS. FRENTE CALLE DELICIAS A CONCORDIA AL FRENTE COLEGIO BELUTINI CASA,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,519,2,,,1
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,SECTOR ALTAGRACIA DERECHA CALLE CONCORDIA. IZQUIERDA CALLE DELICIAS. FRENTE CALLE DELICIAS A CONCORDIA AL FRENTE COLEGIO BELUTINI CASA,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,531,2,,,1
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,SECTOR ALTAGRACIA DERECHA CALLE CONCORDIA. IZQUIERDA CALLE DELICIAS. FRENTE CALLE DELICIAS A CONCORDIA AL FRENTE COLEGIO BELUTINI CASA,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,524,2,,,1
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,SECTOR ALTAGRACIA DERECHA CALLE CONCORDIA. IZQUIERDA CALLE DELICIAS. FRENTE CALLE DELICIAS A CONCORDIA AL FRENTE COLEGIO BELUTINI CASA,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,4,547,2,,,1
010101002,UNIDAD EDUCATIVA SANTA BARBARA,SECTOR SANTA BARBARA DERECHA CALLE PARAISO. IZQUIERDA CALLE DOCTOR GONZALEZ. FRENTE CALLE PARAISO FRENTE ESQUINAS DOCTOR GONZÃLEZ A PARAÃSO EDIFICIO,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,574,2,,,1
010101002,UNIDAD EDUCATIVA SANTA BARBARA,SECTOR SANTA BARBARA DERECHA CALLE PARAISO. IZQUIERDA CALLE DOCTOR GONZALEZ. FRENTE CALLE PARAISO FRENTE ESQUINAS DOCTOR GONZÃLEZ A PARAÃSO EDIFICIO,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,594,2,,,1
010101002,UNIDAD EDUCATIVA SANTA BARBARA,SECTOR SANTA BARBARA DERECHA CALLE PARAISO. IZQUIERDA CALLE DOCTOR GONZALEZ. FRENTE CALLE PARAISO FRENTE ESQUINAS DOCTOR GONZÃLEZ A PARAÃSO EDIFICIO,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,573,2,,,1
010101002,UNIDAD EDUCATIVA SANTA BARBARA,SECTOR SANTA BARBARA DERECHA CALLE PARAISO. IZQUIERDA CALLE DOCTOR GONZALEZ. FRENTE CALLE PARAISO FRENTE ESQUINAS DOCTOR GONZÃLEZ A PARAÃSO EDIFICIO,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,4,586,2,,,1
010101025,CENTRO MUNICIPAL DE ATENCIÃ“N INTEGRAL ALTAGRACIA (,"SECTOR EL RETIRO DERECHA CALLE LOS EUCALIPTUS. IZQUIERDA CALLE SEGUNDA CALLE EL RETIRO. FRENTE CALLE FINAL AVENIDA BARALT INICIO DE AVENIDA  COTA MIL FRENTE RESIDENCIAS VILLA DEL SUR, DIAGONAL PARADA DE AUTOBUSES COTIZA CASA",01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,416,2,,,1
010101025,CENTRO MUNICIPAL DE ATENCIÃ“N INTEGRAL ALTAGRACIA (,"SECTOR EL RETIRO DERECHA CALLE LOS EUCALIPTUS. IZQUIERDA CALLE SEGUNDA CALLE EL RETIRO. FRENTE CALLE FINAL AVENIDA BARALT INICIO DE AVENIDA  COTA MIL FRENTE RESIDENCIAS VILLA DEL SUR, DIAGONAL PARADA DE AUTOBUSES COTIZA CASA",01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,404,2,,,1
010101026,CENTRO DE EDUCACIÃ“N INICIAL SAMUEL ROBINSÃ“N,SECTOR EL RETIRO DERECHA CALLE TERRAZA A. IZQUIERDA CALLE PRIMERA CALLE EL RETIRO. FRENTE TRANSVERSAL ENTRE EL RETIRO Y TERRAZA A FINAL AVENIDA BARALT CON PRIMERA CALLE DEL RETIRO CASA,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,439,2,,,1
010101026,CENTRO DE EDUCACIÃ“N INICIAL SAMUEL ROBINSÃ“N,SECTOR EL RETIRO DERECHA CALLE TERRAZA A. IZQUIERDA CALLE PRIMERA CALLE EL RETIRO. FRENTE TRANSVERSAL ENTRE EL RETIRO Y TERRAZA A FINAL AVENIDA BARALT CON PRIMERA CALLE DEL RETIRO CASA,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,439,2,,,1
