codigo_centro,nombre_centro,direccion,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,numero_mesa,electores,circuito_an,lat,lon,riesgo,origen_mesas
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,758,,,,1,acta
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,757,,,,1,acta
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,757,,,,1,acta
010101002,UNIDAD EDUCATIVA SANTA BARBARA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,773,,,,1,acta
010101002,UNIDAD EDUCATIVA SANTA BARBARA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,772,,,,1,acta
010101002,UNIDAD EDUCATIVA SANTA BARBARA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,772,,,,1,acta
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,863,,,,1,derivado
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,863,,,,1,derivado
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,863,,,,1,derivado
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,4,863,,,,1,derivado
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,5,862,,,,1,derivado
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,6,862,,,,1,derivado
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,7,862,,,,1,derivado
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,8,862,,,,1,derivado
010101004,UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,959,,,,1,acta
010101004,UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,959,,,,1,acta
010101006,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,865,,,,1,acta
010101006,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,865,,,,1,acta
010101006,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,865,,,,1,acta
010101006,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,4,864,,,,1,acta
010101006,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,5,864,,,,1,acta
010101007,ESCUELA NACIONAL DE ARTES ESCÉNICAS CESAR RENGIFO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,707,,,,1,acta
010101007,ESCUELA NACIONAL DE ARTES ESCÉNICAS CESAR RENGIFO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,707,,,,1,acta
010101007,ESCUELA NACIONAL DE ARTES ESCÉNICAS CESAR RENGIFO,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,706,,,,1,acta
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,825,,,,1,acta
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,825,,,,1,acta
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,3,824,,,,1,acta
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,4,824,,,,1,acta
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,5,824,,,,1,acta
010101008,UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,6,824,,,,1,acta
010101009,UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,1,931,,,,1,acta
010101009,UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS,,01,DTTO. CAPITAL,01,MP. BLVNO LIBERTADOR,01,PQ. ALTAGRACIA,2,931,,,,1,acta
