codigo_centro,nombre_centro,direccion,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,numero_mesa,electores,circuito_an,lat,lon,riesgo
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,1,1130,,,,
010101001,UNIDAD EDUCATIVA DISTRITAL MADARIAGA,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,2,1122,,,,
010101002,UNIDAD EDUCATIVA SANTA BARBARA,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,1,770,,,,
010101002,UNIDAD EDUCATIVA SANTA BARBARA,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,2,771,,,,
010101002,UNIDAD EDUCATIVA SANTA BARBARA,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,3,772,,,,
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,1,981,,,,
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,2,993,,,,
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,3,1006,,,,
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,4,991,,,,
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,5,1020,,,,
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,6,980,,,,
010101003,UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,7,909,,,,
010101004,UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,1,947,,,,
010101004,UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,2,955,,,,
010101006,COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,,01,DTTO. CAPITAL,01,BLVNO LIBERTADOR,01,ALTAGRACIA,1,1072,,,,
