transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado
2018_2024,legacy,baseline,300,01,Distrito Capital,7,602,517,602,7,7,100.0,100.0,70.89212,69.93014,-0.96198,69.93014,32.049031,34.286374,2.237343,-38.843089,-35.643766,3.199323,1235729.0
2018_2024,legacy,baseline,300,02,Anzoategui,7,573,519,573,7,7,100.0,100.0,60.720968,60.34384,-0.377128,60.34384,30.74201,28.973298,-1.768712,-29.978958,-31.370542,-1.391583,1062364.0
2018_2024,legacy,baseline,300,03,Apure,3,312,283,312,3,3,100.0,100.0,69.231693,69.314165,0.082471,69.314165,35.300266,35.435909,0.135643,-33.931427,-33.878256,0.053172,356082.0
2018_2024,legacy,baseline,300,04,Aragua,7,599,550,599,7,7,100.0,100.0,71.252347,71.732005,0.479657,71.732005,29.305764,25.025536,-4.280227,-41.946584,-46.706468,-4.759885,1228535.0
2018_2024,legacy,baseline,300,05,Barinas,4,582,459,582,4,4,100.0,100.0,59.604485,59.561356,-0.043129,59.561356,23.709258,13.802272,-9.906986,-35.895227,-45.759084,-9.863857,592896.0
2018_2024,legacy,baseline,300,06,Bolivar,5,514,458,514,5,5,100.0,100.0,59.815233,58.460732,-1.354501,58.460732,25.36604,23.15298,-2.213061,-34.449192,-35.307752,-0.85856,810307.0
2018_2024,legacy,baseline,300,07,Carabobo,7,475,452,475,7,7,100.0,100.0,65.555724,65.338761,-0.216963,65.338761,26.589778,25.794994,-0.794784,-38.965946,-39.543767,-0.577821,1191798.0
2018_2024,legacy,baseline,300,08,Cojedes,3,222,184,222,3,3,100.0,100.0,66.92687,66.695577,-0.231294,66.695577,35.776108,28.911632,-6.864477,-31.150762,-37.783945,-6.633183,219710.0
2018_2024,legacy,baseline,300,09,Falcon,5,615,592,615,5,5,100.0,100.0,59.221804,58.342566,-0.879238,58.342566,26.981505,23.368135,-3.613369,-32.240299,-34.974431,-2.734132,650057.0
2018_2024,legacy,baseline,300,10,Guarico,4,445,391,445,4,4,100.0,100.0,73.397625,73.450549,0.052924,73.450549,33.620677,32.368257,-1.25242,-39.776949,-41.082293,-1.305344,527291.0
2018_2024,legacy,baseline,300,11,Lara,6,681,611,681,6,6,100.0,100.0,66.720956,66.769772,0.048815,66.769772,29.544448,24.501507,-5.04294,-37.176509,-42.268264,-5.091756,845082.0
2018_2024,legacy,baseline,300,12,Merida,4,505,466,505,4,4,100.0,100.0,66.606371,66.063523,-0.542848,66.063523,21.357592,19.82513,-1.532462,-45.248779,-46.238392,-0.989614,622546.0
2018_2024,legacy,baseline,300,13,Miranda,9,842,727,842,9,9,100.0,100.0,76.103796,75.63314,-0.470656,75.63314,31.775912,34.90939,3.133478,-44.327884,-40.72375,3.604134,1663256.0
2018_2024,legacy,baseline,300,14,Monagas,4,414,376,414,4,4,100.0,100.0,64.569134,64.746399,0.177265,64.746399,37.5742,37.816341,0.242141,-26.994934,-26.930058,0.064875,559572.0
2018_2024,legacy,baseline,300,15,Nueva Esparta,3,262,211,262,3,3,100.0,100.0,70.128847,70.846527,0.71768,70.846527,30.919589,30.997067,0.077478,-39.209258,-39.84946,-0.640202,373158.0
2018_2024,legacy,baseline,300,16,Portuguesa,5,587,550,587,5,5,100.0,100.0,65.943872,66.487044,0.543172,66.487044,33.540814,27.926509,-5.614305,-32.403058,-38.560535,-6.157477,640090.0
2018_2024,legacy,baseline,300,17,Sucre,5,618,587,618,5,5,100.0,100.0,66.512811,66.444043,-0.068768,66.444043,47.40136,40.607507,-6.793853,-19.111451,-25.836537,-6.725085,676738.0
2018_2024,legacy,baseline,300,18,Tachira,6,667,608,667,6,6,100.0,100.0,67.981093,68.236694,0.255602,68.236694,16.238649,12.320192,-3.918457,-51.742444,-55.916503,-4.174059,843625.0
2018_2024,legacy,baseline,300,19,Trujillo,4,591,560,591,4,4,100.0,100.0,64.62467,65.237186,0.612516,65.237186,34.516683,29.441835,-5.074848,-30.107987,-35.795351,-5.687364,541049.0
2018_2024,legacy,baseline,300,20,Yaracuy,4,443,413,443,4,4,100.0,100.0,62.830806,63.113704,0.282898,63.113704,36.444411,34.223619,-2.220792,-26.386395,-28.890086,-2.50369,442431.0
2018_2024,legacy,baseline,300,21,Zulia,11,1025,944,1024,11,11,100.0,99.902439,72.015941,71.991861,-0.02408,71.991861,28.701011,21.882973,-6.818038,-43.314931,-50.108888,-6.793957,1990029.0
2018_2024,legacy,baseline,300,22,Amazonas,2,64,61,64,2,2,100.0,100.0,61.36296,60.614793,-0.748167,60.614793,38.284492,42.439573,4.155081,-23.078469,-18.175221,4.903248,69946.0
