codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,hist_pct_maduro_centro,hist_pct_maduro_estado,hist_diff_abs_pp,pasada,tolerancia_de_entrada,metodo,transicion
010115010,01,UNIDAD EDUCATIVA BOLIVARIANA PEDRO FONTES,Distrito Capital,6032,8,24,52.525725,51.320369,1.205356,1,2,legacy,2013_2018
010107021,01,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA MIGUEL VILLAVICENCIO,Distrito Capital,5549,8,30,51.836822,51.320369,0.516453,1,2,legacy,2013_2018
010110169,01,ESCUELA BÁSICA NACIONAL ESPAÑA,Distrito Capital,4991,7,42,53.237245,51.320369,1.916877,1,2,legacy,2013_2018
010110038,01,UNIDAD EDUCATIVA NACIONAL ANTONIO JOSÉ DE SUCRE,Distrito Capital,4847,7,49,52.790943,51.320369,1.470574,1,2,legacy,2013_2018
010114002,01,ESCUELA BÁSICA BOLIVARIANA CARACCIOLO PARRA LEÓN,Distrito Capital,4739,7,56,51.305645,51.320369,0.014723,1,2,legacy,2013_2018
010110007,01,LICEO BOLIVARIANO LUIS ESPELOZÍN,Distrito Capital,4112,6,88,52.024088,51.320369,0.70372,1,2,legacy,2013_2018
010114045,01,UNIVERSIDAD EXPERIMENTAL SIMÓN RODRÍGUEZ,Distrito Capital,3673,5,113,52.14511,51.320369,0.824742,1,2,legacy,2013_2018
010110016,01,UNIDAD EDUCATIVA NACIONAL LICEO BOLIVARIANO NICANOR BOLET PERAZA,Distrito Capital,3509,5,125,52.29682,51.320369,0.976451,1,2,legacy,2013_2018
010110101,01,ESCUELA BÁSICA NACIONAL SUCRE,Distrito Capital,3384,5,142,49.753695,51.320369,1.566674,1,2,legacy,2013_2018
021301021,02,GRUPO ESCOLAR TOMAS MOGNA,Anzoategui,5372,7,6,48.645493,47.323629,1.321864,1,2,legacy,2013_2018
020101013,02,UNIDAD EDUCATIVA NARCISO FRAGACHAN,Anzoategui,5132,7,8,46.370143,47.323629,0.953486,1,2,legacy,2013_2018
021201006,02,UNIDAD EDUCATIVA HERNANDEZ PARES,Anzoategui,4832,7,12,48.125,47.323629,0.801371,1,2,legacy,2013_2018
020302026,02,UNIDAD EDUCATIVA DOCTOR JOSÉ GIL FORTOUL,Anzoategui,4602,7,16,48.801199,47.323629,1.47757,1,2,legacy,2013_2018
020101022,02,UNIDAD EDUCATIVA  VIENTO FRESCO,Anzoategui,4559,6,18,48.551913,47.323629,1.228284,1,2,legacy,2013_2018
020302001,02,ESCUELA ESTADAL DOMINGO MAZA VELASQUEZ,Anzoategui,4293,6,28,47.940642,47.323629,0.617013,1,2,legacy,2013_2018
030501013,03,LICEO BOLIVARIANO MANUEL ANTONIO NIEVES,Apure,4067,6,1,62.416332,61.76014,0.656192,1,2,legacy,2013_2018
030101001,03,ESCUELA BASICA BOLIVARIANA TERESA HURTADO,Apure,3540,5,9,62.294521,61.76014,0.534381,1,2,legacy,2013_2018
030603004,03,ESCUELA BASICA EL RECREO,Apure,3301,5,15,60.058522,61.76014,1.701618,1,2,legacy,2013_2018
