transicion,cod_estado,estado,cuota_total,cuota_base,extras_dhondt,electores_frame,centros_frame
2013_2018,01,Distrito Capital,9,2,7,1697224.0,891
2013_2018,02,Anzoategui,6,2,4,1066195.0,650
2013_2018,03,Apure,3,2,1,334268.0,349
2013_2018,04,Aragua,7,2,5,1213087.0,630
2013_2018,05,Barinas,4,2,2,560790.0,563
2013_2018,06,Bolivar,6,2,4,973381.0,720
2013_2018,07,Carabobo,8,2,6,1561777.0,711
2013_2018,08,Cojedes,2,2,0,240646.0,262
2013_2018,09,Falcon,4,2,2,668149.0,729
2013_2018,10,Guarico,4,2,2,526963.0,463
2013_2018,11,Lara,7,2,5,1261626.0,1044
2013_2018,12,Merida,4,2,2,602637.0,526
2013_2018,13,Miranda,10,2,8,2075234.0,1118
2013_2018,14,Monagas,4,2,2,625457.0,536
2013_2018,15,Nueva Esparta,3,2,1,350093.0,245
2013_2018,16,Portuguesa,4,2,2,605921.0,660
2013_2018,17,Sucre,4,2,2,643440.0,683
2013_2018,18,Tachira,5,2,3,868879.0,680
2013_2018,19,Trujillo,4,2,2,529867.0,638
2013_2018,20,Yaracuy,3,2,1,430459.0,487
2013_2018,21,Zulia,12,2,10,2452432.0,1338
2013_2018,22,Amazonas,2,2,0,107896.0,145
2013_2018,23,Delta Amacuro,2,2,0,120242.0,180
2013_2018,24,La Guaira,3,2,1,279952.0,202
2018_2024,01,Distrito Capital,7,2,5,1235729.0,602
2018_2024,02,Anzoategui,7,2,5,1062364.0,573
2018_2024,03,Apure,3,2,1,356082.0,312
2018_2024,04,Aragua,7,2,5,1228535.0,599
2018_2024,05,Barinas,4,2,2,592896.0,582
2018_2024,06,Bolivar,5,2,3,810307.0,514
2018_2024,07,Carabobo,7,2,5,1191798.0,475
2018_2024,08,Cojedes,3,2,1,219710.0,222
2018_2024,09,Falcon,5,2,3,650057.0,615
2018_2024,10,Guarico,4,2,2,527291.0,445
2018_2024,11,Lara,6,2,4,845082.0,681
2018_2024,12,Merida,4,2,2,622546.0,505
2018_2024,13,Miranda,9,2,7,1663256.0,842
2018_2024,14,Monagas,4,2,2,559572.0,414
2018_2024,15,Nueva Esparta,3,2,1,373158.0,262
2018_2024,16,Portuguesa,5,2,3,640090.0,587
2018_2024,17,Sucre,5,2,3,676738.0,618
2018_2024,18,Tachira,6,2,4,843625.0,667
2018_2024,19,Trujillo,4,2,2,541049.0,591
2018_2024,20,Yaracuy,4,2,2,442431.0,443
2018_2024,21,Zulia,11,2,9,1990029.0,1025
2018_2024,22,Amazonas,2,2,0,69946.0,64
2018_2024,23,Delta Amacuro,2,2,0,99383.0,124
2018_2024,24,La Guaira,3,2,1,260842.0,165
