transicion,cod_estado,estado,centros_frame,centros_sin_historico,pct_sin_historico
2013_2018,01,Distrito Capital,891,32,3.59147
2013_2018,02,Anzoategui,650,56,8.615385
2013_2018,03,Apure,349,38,10.888252
2013_2018,04,Aragua,630,27,4.285714
2013_2018,05,Barinas,563,78,13.854352
2013_2018,06,Bolivar,720,29,4.027778
2013_2018,07,Carabobo,711,63,8.860759
2013_2018,08,Cojedes,262,14,5.343511
2013_2018,09,Falcon,729,49,6.721536
2013_2018,10,Guarico,463,51,11.015119
2013_2018,11,Lara,1044,81,7.758621
2013_2018,12,Merida,526,15,2.851711
2013_2018,13,Miranda,1118,95,8.497317
2013_2018,14,Monagas,536,106,19.776119
2013_2018,15,Nueva Esparta,245,19,7.755102
2013_2018,16,Portuguesa,660,47,7.121212
2013_2018,17,Sucre,683,40,5.856515
2013_2018,18,Tachira,680,11,1.617647
2013_2018,19,Trujillo,638,8,1.253918
2013_2018,20,Yaracuy,487,27,5.544148
2013_2018,21,Zulia,1338,153,11.434978
2013_2018,22,Amazonas,145,22,15.172414
2013_2018,23,Delta Amacuro,180,8,4.444444
2013_2018,24,La Guaira,202,4,1.980198
2018_2024,01,Distrito Capital,602,85,14.119601
2018_2024,02,Anzoategui,573,54,9.424084
2018_2024,03,Apure,312,29,9.294872
2018_2024,04,Aragua,599,49,8.180301
2018_2024,05,Barinas,582,123,21.134021
2018_2024,06,Bolivar,514,56,10.894942
2018_2024,07,Carabobo,475,23,4.842105
2018_2024,08,Cojedes,222,38,17.117117
2018_2024,09,Falcon,615,23,3.739837
2018_2024,10,Guarico,445,54,12.134831
2018_2024,11,Lara,681,70,10.279001
2018_2024,12,Merida,505,39,7.722772
2018_2024,13,Miranda,842,115,13.657957
2018_2024,14,Monagas,414,38,9.178744
2018_2024,15,Nueva Esparta,262,51,19.465649
2018_2024,16,Portuguesa,587,37,6.303237
2018_2024,17,Sucre,618,31,5.016181
2018_2024,18,Tachira,667,59,8.845577
2018_2024,19,Trujillo,591,31,5.245347
2018_2024,20,Yaracuy,443,30,6.772009
2018_2024,21,Zulia,1025,81,7.902439
2018_2024,22,Amazonas,64,3,4.6875
2018_2024,23,Delta Amacuro,124,26,20.967742
2018_2024,24,La Guaira,165,5,3.030303
