transicion,metodo,tolerance_ladder,min_electores,estados_evaluados,mae_error_outcome_pp,rmse_error_outcome_pp,mediana_abs_error_outcome_pp,p90_abs_error_outcome_pp,mae_swing_error_pp,rmse_swing_error_pp,prop_dentro_2pp,prop_dentro_5pp,prop_dentro_10pp,mae_ponderado_electores_pp,rmse_ponderado_electores_pp,mae_swing_ponderado_electores_pp,rmse_swing_ponderado_electores_pp,electores_evaluados,centros_seleccionados,centros_con_outcome
2013_2018,legacy,baseline,0,24,3.942275,4.971262,3.389514,7.170062,3.91255,4.781598,0.208333,0.75,0.916667,3.49257,4.117037,3.595427,4.097284,19796615.0,120,120
2013_2018,size_only,baseline,0,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2013_2018,legacy,baseline,300,24,3.942275,4.971262,3.389514,7.170062,3.91255,4.781598,0.208333,0.75,0.916667,3.49257,4.117037,3.595427,4.097284,19796615.0,120,120
2013_2018,size_only,baseline,300,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2013_2018,legacy,baseline,600,24,3.942275,4.971262,3.389514,7.170062,3.91255,4.781598,0.208333,0.75,0.916667,3.49257,4.117037,3.595427,4.097284,19796615.0,120,120
2013_2018,size_only,baseline,600,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2013_2018,legacy,estricta,0,24,3.754005,5.911476,3.381098,5.138499,3.733553,5.932052,0.291667,0.875,0.958333,2.935988,3.738296,2.953336,3.768013,19796615.0,120,120
2013_2018,size_only,estricta,0,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2013_2018,legacy,estricta,300,24,3.754005,5.911476,3.381098,5.138499,3.733553,5.932052,0.291667,0.875,0.958333,2.935988,3.738296,2.953336,3.768013,19796615.0,120,120
2013_2018,size_only,estricta,300,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2013_2018,legacy,estricta,600,24,3.249704,4.058688,3.381098,5.138499,3.172421,3.890945,0.291667,0.875,0.958333,2.862475,3.358877,2.871538,3.357858,19796615.0,120,120
2013_2018,size_only,estricta,600,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2013_2018,legacy,amplia,0,24,3.605875,4.28996,3.575284,5.048906,3.638309,4.455787,0.25,0.875,0.958333,3.267687,3.565564,3.234469,3.536378,19796615.0,120,120
2013_2018,size_only,amplia,0,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2013_2018,legacy,amplia,300,24,3.605875,4.28996,3.575284,5.048906,3.638309,4.455787,0.25,0.875,0.958333,3.267687,3.565564,3.234469,3.536378,19796615.0,120,120
2013_2018,size_only,amplia,300,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2013_2018,legacy,amplia,600,24,3.605875,4.28996,3.575284,5.048906,3.638309,4.455787,0.25,0.875,0.958333,3.267687,3.565564,3.234469,3.536378,19796615.0,120,120
2013_2018,size_only,amplia,600,24,5.756072,7.468829,4.81709,10.710318,5.265114,6.556772,0.208333,0.5,0.875,5.613237,6.766113,6.306599,7.726188,19796615.0,120,120
2018_2024,legacy,baseline,0,24,3.386584,4.209143,2.930494,6.810782,3.40888,4.298307,0.333333,0.708333,1.0,3.613965,4.335926,3.661261,4.440218,17502516.0,120,120
2018_2024,size_only,baseline,0,24,7.452804,8.592492,6.27978,12.797168,3.644788,4.094327,0.0,0.291667,0.875,8.445212,9.977726,3.361167,3.749903,17502516.0,120,120
2018_2024,legacy,baseline,300,24,3.386584,4.209143,2.930494,6.810782,3.40888,4.298307,0.333333,0.708333,1.0,3.613965,4.335926,3.661261,4.440218,17502516.0,120,120
2018_2024,size_only,baseline,300,24,7.452804,8.592492,6.27978,12.797168,3.644788,4.094327,0.0,0.291667,0.875,8.445212,9.977726,3.361167,3.749903,17502516.0,120,120
2018_2024,legacy,baseline,600,24,3.386584,4.209143,2.930494,6.810782,3.40888,4.298307,0.333333,0.708333,1.0,3.613965,4.335926,3.661261,4.440218,17502516.0,120,120
