codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,similarity,distancia_hist_pp,state_winner,state_top1,state_top2,candidate_profile,pasada,tolerancia_de_entrada,metodo,transicion
010115010,01,UNIDAD EDUCATIVA BOLIVARIANA PEDRO FONTES,Distrito Capital,6032,8,24,winner_share,1.205356,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
010107021,01,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA MIGUEL VILLAVICENCIO,Distrito Capital,5549,8,30,winner_share,0.516453,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
010110169,01,ESCUELA BÁSICA NACIONAL ESPAÑA,Distrito Capital,4991,7,42,winner_share,1.916877,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
010110038,01,UNIDAD EDUCATIVA NACIONAL ANTONIO JOSÉ DE SUCRE,Distrito Capital,4847,7,49,winner_share,1.470574,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
010114002,01,ESCUELA BÁSICA BOLIVARIANA CARACCIOLO PARRA LEÓN,Distrito Capital,4739,7,56,winner_share,0.014723,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
010110007,01,LICEO BOLIVARIANO LUIS ESPELOZÍN,Distrito Capital,4112,6,88,winner_share,0.70372,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
010114045,01,UNIVERSIDAD EXPERIMENTAL SIMÓN RODRÍGUEZ,Distrito Capital,3673,5,113,winner_share,0.824742,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
010110016,01,UNIDAD EDUCATIVA NACIONAL LICEO BOLIVARIANO NICANOR BOLET PERAZA,Distrito Capital,3509,5,125,winner_share,0.976451,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
010110101,01,ESCUELA BÁSICA NACIONAL SUCRE,Distrito Capital,3384,5,142,winner_share,1.566674,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
021301021,02,GRUPO ESCOLAR TOMAS MOGNA,Anzoategui,5372,7,6,winner_share,1.312798,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
020101013,02,UNIDAD EDUCATIVA NARCISO FRAGACHAN,Anzoategui,5132,7,8,winner_share,0.814861,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
021201006,02,UNIDAD EDUCATIVA HERNANDEZ PARES,Anzoategui,4832,7,12,winner_share,0.790456,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
020302026,02,UNIDAD EDUCATIVA DOCTOR JOSÉ GIL FORTOUL,Anzoategui,4602,7,16,winner_share,1.632947,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
020101022,02,UNIDAD EDUCATIVA  VIENTO FRESCO,Anzoategui,4559,6,18,winner_share,1.200292,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
020302001,02,ESCUELA ESTADAL DOMINGO MAZA VELASQUEZ,Anzoategui,4293,6,28,winner_share,0.670327,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
030501013,03,LICEO BOLIVARIANO MANUEL ANTONIO NIEVES,Apure,4067,6,1,winner_share,0.656192,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
030101001,03,ESCUELA BASICA BOLIVARIANA TERESA HURTADO,Apure,3540,5,9,winner_share,0.534381,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
030603004,03,ESCUELA BASICA EL RECREO,Apure,3301,5,15,winner_share,1.701618,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
041701009,04,UNIVERSIDAD DE CARABOBO MORITA II,Aragua,7226,10,2,winner_share,0.955085,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
040202001,04,ESCUELA BASICA ROSA AMELIA FLORES,Aragua,6352,9,4,winner_share,0.230625,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
040202009,04,CICLO BASICO MARI/O,Aragua,5267,7,14,winner_share,0.023129,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
041302001,04,ESCUELA BASICA JOSE FELIX RIBAS,Aragua,4180,6,55,winner_share,0.801731,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
040108012,04,ESCUELA BASICA ANIBAL CASTILLO,Aragua,3382,5,110,winner_share,0.615182,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
040108006,04,ESCUELA BASICA AGUSTIN AVELEDO,Aragua,3345,5,115,winner_share,1.579024,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
040202002,04,ESCUELA BASICA JOSEFINA BOLIVAR DE GONZALEZ,Aragua,2834,4,172,winner_share,0.844979,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
050212001,05,ESCUELA BASICA ESTATAL VIRGINIA DE CONTRERAS,Barinas,4700,7,3,winner_share,1.115979,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
050210005,05,UNIDAD  EDUCATIVA PADRE FELIPE  SALVADOR GILIJ,Barinas,3816,5,18,winner_share,0.15528,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
050208004,05,ESCUELA BASICA LOURDES RIVAS  DE TORRES,Barinas,3723,5,20,winner_share,0.546943,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
050302007,05,UNIDAD EDUCATIVA  JOSE RAMON TRASPUESTO,Barinas,3571,5,26,winner_share,0.399515,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
060108025,06,UNIDAD EDUCATIVA NACIONAL DOCTOR LUIS BELTRAN PRIETO FIGUEROA,Bolivar,6565,9,6,winner_share,0.885683,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
060101003,06,ESCUELA ESTADAL BASICA SILVANA DE IRADI,Bolivar,4325,6,33,winner_share,0.360775,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
060303014,06,ESCUELA BASICA NACIONAL JOSE LUIS AFANADOR,Bolivar,4238,6,36,winner_share,1.287485,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
060101023,06,ESCUELA NACIONAL BASICA ANTONIO DE BERRIOS,Bolivar,3898,5,48,winner_share,0.701055,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
060302011,06,ESCUELA BASICA NACIONAL LOS PROCERES II,Bolivar,3882,6,49,winner_share,0.905629,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
060306005,06,ESCUELA BASICA JOSE ANTONIO PAEZ,Bolivar,3831,5,50,winner_share,0.281927,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
070401016,07,UNIDAD EDUCATIVA NACIONAL EL TOQUITO,Carabobo,5122,7,60,winner_share,0.741509,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
070403003,07,GRUPO ESCOLAR CARLOS ARVELO,Carabobo,5039,7,63,winner_share,0.222315,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
071301005,07,UNIDAD EDUCATIVA NACIONAL CAMPO SOLO,Carabobo,4746,7,74,winner_share,1.225372,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
071402003,07,UNIDAD EDUCATIVA ESTADAL JUANA GOMEZ,Carabobo,4255,6,102,winner_share,1.57729,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
070704005,07,ESCUELA MARIA CONCEPCION DE BOLIVAR,Carabobo,4107,6,116,winner_share,0.804717,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
070401006,07,PRE ESCOLAR EL SAMAN CEI BOLIVARIANO EL SAMAN,Carabobo,3993,6,127,winner_share,1.536673,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
070703004,07,ESCUELA BASICA LA SALLE BALOCHE,Carabobo,3935,6,133,winner_share,0.572404,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
070705004,07,UNIDAD EDUCATIVA COLEGIO CENTRO ESTUDIO CARABOBO,Carabobo,3509,5,151,winner_share,1.251195,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
080201004,08,ESCUELA BASICA ANTONIO JOSE DE SUCRE,Cojedes,2910,4,15,winner_share,1.098806,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
080301002,08,LICEO BOLIVARIANO HIGINIO MORALES,Cojedes,2894,4,16,winner_share,0.602096,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
091002014,09,ESCUELA TECNICA INDUSTRIAL ROBINSONIANA CORO  EXTENSION SAN JOSE,Falcon,4178,6,7,winner_share,1.827132,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
091001020,09,ESCUELA BASICA VELITA II,Falcon,3696,5,19,winner_share,1.632595,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
091001022,09,COMPLEJO EDUCATIVO MIGUEL LOPEZ GARCIA,Falcon,3683,5,20,winner_share,1.449814,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
090401007,09,ESCUELA BÁSICA ANTIGUO AEROPUERTO,Falcon,3466,5,28,winner_share,1.3747,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
100701003,10,ESCUELA BASICA NACIONAL RÓMULO GALLEGOS,Guarico,5067,7,4,winner_share,1.224525,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
101101001,10,ESCUELA BASICA CARLOS IRAZABAL PEREZ,Guarico,4551,6,7,winner_share,1.174849,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
