transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,similarity,n_difiere_otras_variantes,n_difiere_vs_winner_share,n_difiere_vs_top2_gap,n_difiere_vs_full_profile,distancia_media_sel,distancia_mediana_sel,distancia_max_sel,pasada_maxima,tolerancia_maxima,conteo_por_tolerancia,electores_medianos_sel,electores_minimos_sel
2013_2018,legacy_similarity,baseline,300,01,Distrito Capital,9,891,859,891,9,9,100.0,100.0,51.320369,52.063434,0.743066,52.063434,70.89212,68.675726,-2.216394,19.571752,16.612292,-2.959459,1697224.0,winner_share,5,0,5,0,1.02173,0.976451,1.916877,1,2,2:9,4739.0,3384.0
2013_2018,legacy_similarity,baseline,300,02,Anzoategui,6,650,594,650,6,6,100.0,100.0,47.323629,48.082609,0.75898,48.082609,60.720968,56.858049,-3.862919,13.397339,8.77544,-4.621899,1066195.0,winner_share,3,0,3,0,1.07028,1.007577,1.632947,1,2,2:6,4717.0,4293.0
2013_2018,legacy_similarity,baseline,300,03,Apure,3,349,311,341,3,3,100.0,97.707736,61.76014,61.629252,-0.130887,61.629252,69.231693,68.792867,-0.438826,7.471553,7.163614,-0.307939,334268.0,winner_share,1,0,1,0,0.964063,0.656192,1.701618,1,2,2:3,3540.0,3301.0
2013_2018,legacy_similarity,baseline,300,04,Aragua,7,630,603,609,7,7,100.0,96.666667,54.054519,53.861675,-0.192844,53.861675,71.252347,67.14025,-4.112097,17.197829,13.278576,-3.919253,1213087.0,winner_share,1,0,1,0,0.721393,0.801731,1.579024,1,2,2:7,4180.0,2834.0
2013_2018,legacy_similarity,baseline,300,05,Barinas,4,563,485,548,4,4,100.0,97.335702,52.188214,51.946917,-0.241297,51.946917,59.604485,56.169684,-3.434802,7.416271,4.222767,-3.193504,560790.0,winner_share,1,0,1,0,0.554429,0.473229,1.115979,1,2,2:4,3769.5,3571.0
2013_2018,legacy_similarity,baseline,300,06,Bolivar,6,720,691,708,6,6,100.0,98.333333,47.879948,47.644518,-0.23543,47.644518,59.815233,53.716301,-6.098932,11.935285,6.071784,-5.863501,973381.0,winner_share,1,0,1,0,0.737092,0.793369,1.287485,1,2,2:6,4068.0,3831.0
2013_2018,legacy_similarity,baseline,300,07,Carabobo,8,711,648,704,8,8,100.0,99.015471,50.513511,51.133104,0.619593,51.133104,65.555724,63.285723,-2.270002,15.042213,12.152619,-2.889595,1561777.0,winner_share,4,0,4,0,0.991434,1.015044,1.57729,1,2,2:8,4181.0,3509.0
2013_2018,legacy_similarity,baseline,300,08,Cojedes,2,262,248,253,2,2,100.0,96.564885,61.165345,62.017118,0.851772,62.017118,66.92687,67.887088,0.960217,5.761525,5.86997,0.108445,240646.0,winner_share,1,0,1,0,0.850451,0.850451,1.098806,1,2,2:2,2902.0,2894.0
2013_2018,legacy_similarity,baseline,300,09,Falcon,4,729,680,721,4,4,100.0,98.902606,53.03365,53.035278,0.001628,53.035278,59.221804,55.877577,-3.344227,6.188153,2.842298,-3.345855,668149.0,winner_share,4,0,4,1,1.57106,1.541204,1.827132,1,2,2:4,3689.5,3466.0
2013_2018,legacy_similarity,baseline,300,10,Guarico,4,463,412,463,4,4,100.0,100.0,59.289042,59.022634,-0.266407,59.022634,73.397625,67.046534,-6.351092,14.108584,8.023899,-6.084685,526963.0,winner_share,2,0,2,0,0.863414,1.021419,1.224525,1,2,2:4,4474.0,4005.0
2013_2018,legacy_similarity,baseline,300,11,Lara,7,1044,963,1027,7,7,100.0,98.371648,47.719486,47.259386,-0.4601,47.259386,66.720956,61.407647,-5.313309,19.001471,14.148261,-4.853209,1261626.0,winner_share,3,0,3,1,0.944524,0.856538,1.967708,1,2,2:7,5122.0,4064.0
2013_2018,legacy_similarity,baseline,300,12,Merida,4,526,511,526,4,4,100.0,100.0,42.885591,42.246029,-0.639562,42.246029,66.606371,67.941744,1.335373,23.72078,25.695715,1.974936,602637.0,winner_share,3,0,3,1,1.40772,1.534977,1.950133,1,2,2:4,3984.5,3574.0
2013_2018,legacy_similarity,baseline,300,13,Miranda,10,1118,1023,1110,10,10,100.0,99.284436,47.296963,47.94387,0.646907,47.94387,76.103796,72.891866,-3.21193,28.806834,24.947997,-3.858837,2075234.0,winner_share,5,0,5,1,1.030234,1.054617,1.963475,1,2,2:10,4708.5,3903.0
2013_2018,legacy_similarity,baseline,300,14,Monagas,4,536,430,518,4,4,100.0,96.641791,55.464436,55.298651,-0.165785,55.298651,64.569134,60.16198,-4.407154,9.104698,4.863329,-4.241369,625457.0,winner_share,0,0,0,0,0.515444,0.572205,0.742756,1,2,2:4,3057.5,2842.0
2013_2018,legacy_similarity,baseline,300,15,Nueva Esparta,3,245,226,245,3,3,100.0,100.0,46.909744,46.005155,-0.904589,46.005155,70.128847,71.860848,1.732001,23.219104,25.855693,2.63659,350093.0,winner_share,1,0,1,0,0.865602,0.918036,1.027275,1,2,2:3,3103.0,3090.0
2013_2018,legacy_similarity,baseline,300,16,Portuguesa,4,660,613,654,4,4,100.0,99.090909,65.453833,66.210919,0.757086,66.210919,65.943872,68.490591,2.546719,0.490039,2.279672,1.789633,605921.0,winner_share,1,0,1,0,0.798063,0.663502,1.679034,1,2,2:4,3203.0,2551.0
2013_2018,legacy_similarity,baseline,300,17,Sucre,4,683,643,671,4,4,100.0,98.243045,57.483592,57.570743,0.087151,57.570743,66.512811,66.287676,-0.225135,9.029219,8.716933,-0.312287,643440.0,winner_share,0,0,0,0,0.40709,0.473069,0.643137,1,2,2:4,3893.0,3268.0
2013_2018,legacy_similarity,baseline,300,18,Tachira,5,680,669,674,5,5,100.0,99.117647,36.97814,36.892286,-0.085854,36.892286,67.981093,57.515679,-10.465414,31.002952,20.623393,-10.379559,868879.0,winner_share,3,0,3,1,1.12847,1.453013,1.922479,1,2,2:5,4119.0,3981.0
2013_2018,legacy_similarity,baseline,300,19,Trujillo,4,638,630,638,4,4,100.0,100.0,59.789413,59.729784,-0.059629,59.729784,64.62467,68.480222,3.855552,4.835257,8.750438,3.915181,529867.0,winner_share,1,0,1,0,0.644846,0.682927,1.18425,1,2,2:4,3162.0,3060.0
2013_2018,legacy_similarity,baseline,300,20,Yaracuy,3,487,460,483,3,3,100.0,99.178645,56.530006,55.219261,-1.310745,55.219261,62.830806,51.408299,-11.422507,6.3008,-3.810961,-10.111761,430459.0,winner_share,2,0,2,0,1.248175,1.474683,1.729069,1,2,2:3,2217.0,1853.0
2013_2018,legacy_similarity,baseline,300,21,Zulia,12,1338,1185,1320,12,12,100.0,98.654709,47.688074,47.753244,0.06517,47.753244,72.015941,69.976072,-2.03987,24.327867,22.222827,-2.10504,2452432.0,winner_share,4,0,4,0,0.669471,0.436533,1.67681,1,2,2:12,5723.5,4647.0
2013_2018,legacy_similarity,baseline,300,22,Amazonas,2,145,123,138,2,2,100.0,95.172414,52.458365,53.126245,0.66788,53.126245,61.36296,56.111758,-5.251203,8.904596,2.985513,-5.919082,107896.0,winner_share,0,0,0,0,0.798783,0.798783,1.025628,1,2,2:2,2996.0,2552.0
2013_2018,legacy_similarity,baseline,300,23,Delta Amacuro,2,180,172,163,2,2,100.0,90.555556,61.63058,62.762111,1.131531,62.762111,65.90959,78.172999,12.263409,4.27901,15.410888,11.131877,120242.0,winner_share,1,0,1,1,1.064585,1.064585,1.98128,1,2,2:2,990.0,953.0
2013_2018,legacy_similarity,baseline,300,24,La Guaira,3,202,198,202,3,3,100.0,100.0,57.085172,56.413109,-0.672063,56.413109,74.429675,74.96144,0.531764,17.344503,18.54833,1.203827,279952.0,winner_share,1,0,1,0,0.842531,0.792805,1.417448,1,2,2:3,4291.0,3907.0
2013_2018,legacy_similarity,baseline,300,01,Distrito Capital,9,891,859,891,9,9,100.0,100.0,51.320369,51.390406,0.070038,51.390406,70.89212,68.44831,-2.44381,19.571752,17.057904,-2.513848,1697224.0,top2_gap,5,5,0,5,1.308977,1.420403,1.965076,1,2,2:9,3362.0,3121.0
2013_2018,legacy_similarity,baseline,300,02,Anzoategui,6,650,594,650,6,6,100.0,100.0,47.323629,47.600941,0.277312,47.600941,60.720968,57.101385,-3.619583,13.397339,9.500444,-3.896895,1066195.0,top2_gap,3,3,0,3,1.280819,1.309476,1.768346,1,2,2:6,4168.0,3567.0
2013_2018,legacy_similarity,baseline,300,03,Apure,3,349,311,341,3,3,100.0,97.707736,61.76014,62.182216,0.422076,62.182216,69.231693,74.145224,4.913531,7.471553,11.963008,4.491454,334268.0,top2_gap,1,1,0,1,0.777279,0.961244,1.271021,1,2,2:3,3540.0,3127.0
2013_2018,legacy_similarity,baseline,300,04,Aragua,7,630,603,609,7,7,100.0,96.666667,54.054519,53.707217,-0.347302,53.707217,71.252347,67.49512,-3.757227,17.197829,13.787903,-3.409925,1213087.0,top2_gap,1,1,0,1,1.024421,1.296596,1.749469,1,2,2:7,4180.0,2820.0
2013_2018,legacy_similarity,baseline,300,05,Barinas,4,563,485,548,4,4,100.0,97.335702,52.188214,52.344285,0.156071,52.344285,59.604485,57.236159,-2.368327,7.416271,4.891874,-2.524397,560790.0,top2_gap,1,1,0,1,0.74906,0.693527,1.198284,1,2,2:4,3647.0,3136.0
2013_2018,legacy_similarity,baseline,300,06,Bolivar,6,720,691,708,6,6,100.0,98.333333,47.879948,47.891355,0.011407,47.891355,59.815233,55.673566,-4.141667,11.935285,7.782211,-4.153074,973381.0,top2_gap,1,1,0,1,1.043175,0.970062,1.824962,1,2,2:6,3890.0,3593.0
2013_2018,legacy_similarity,baseline,300,07,Carabobo,8,711,648,704,8,8,100.0,99.015471,50.513511,50.571465,0.057954,50.571465,65.555724,63.07122,-2.484504,15.042213,12.499755,-2.542459,1561777.0,top2_gap,4,4,0,4,0.813329,0.675342,1.534715,1,2,2:8,3580.5,1540.0
2013_2018,legacy_similarity,baseline,300,08,Cojedes,2,262,248,253,2,2,100.0,96.564885,61.165345,61.304757,0.139412,61.304757,66.92687,67.503975,0.577104,5.761525,6.199217,0.437692,240646.0,top2_gap,1,1,0,1,0.792961,0.792961,1.117148,1,2,2:2,2638.5,2383.0
2013_2018,legacy_similarity,baseline,300,09,Falcon,4,729,680,721,4,4,100.0,98.902606,53.03365,52.745725,-0.287925,52.745725,59.221804,56.079191,-3.142613,6.188153,3.333466,-2.854688,668149.0,top2_gap,4,4,0,4,1.247103,1.451916,1.852148,1,2,2:4,2223.0,1714.0
