codigo_centro,cod_estado,estado,nombre_centro,electores,rank_por_tamano,residual_2006,residual_2012,n_hist,recent_distance,historical_mae,historical_rmse,historical_bias,abs_historical_bias,historical_volatility,selector,cohort,score,pasada,tolerancia_de_entrada,metodo,target,residual_2013,residual_2018
010107021,01,Distrito Capital,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA MIGUEL VILLAVICENCIO,5813.0,24,2.845037,1.252943,2,1.252943,2.04899,2.198193,2.04899,2.04899,0.796047,recent_distance,common,1.252943,1,2,longitudinal,2013,,
010115010,01,Distrito Capital,UNIDAD EDUCATIVA BOLIVARIANA PEDRO FONTES,5610.0,29,-1.260892,1.848382,2,1.848382,1.554637,1.582145,0.293745,0.293745,1.554637,recent_distance,common,1.848382,1,2,longitudinal,2013,,
010114002,01,Distrito Capital,ESCUELA BÁSICA BOLIVARIANA CARACCIOLO PARRA LEÓN,4948.0,42,1.813427,0.452988,2,0.452988,1.133208,1.321688,1.133208,1.133208,0.680219,recent_distance,common,0.452988,1,2,longitudinal,2013,,
010110022,01,Distrito Capital,UNIDAD EDUCATIVA NACIONAL MIGUEL ANTONIO CARO,4673.0,53,7.750363,1.770003,2,1.770003,4.760183,5.621434,4.760183,4.760183,2.99018,recent_distance,common,1.770003,1,2,longitudinal,2013,,
010114045,01,Distrito Capital,UNIVERSIDAD EXPERIMENTAL SIMON RODRIGUEZ,3980.0,91,4.125641,0.243892,2,0.243892,2.184767,2.922362,2.184767,2.184767,1.940875,recent_distance,common,0.243892,1,2,longitudinal,2013,,
010110101,01,Distrito Capital,ESCUELA BASICA NACIONAL SUCRE,3606.0,114,-0.041971,-1.580054,2,1.580054,0.811013,1.117661,-0.811013,0.811013,0.769041,recent_distance,common,1.580054,1,2,longitudinal,2013,,
010113004,01,Distrito Capital,UNIDAD EDUCATIVA DISTRITAL SIMON RODRIGUEZ,3503.0,126,-0.662527,0.281135,2,0.281135,0.471831,0.50891,-0.190696,0.190696,0.471831,recent_distance,common,0.281135,1,2,longitudinal,2013,,
010117023,01,Distrito Capital,ESCUELA BASICA BOLIVARIANA MENCA DE LEONI,3399.0,140,3.17805,1.914273,2,1.914273,2.546161,2.623399,2.546161,2.546161,0.631889,recent_distance,common,1.914273,1,2,longitudinal,2013,,
010104014,01,Distrito Capital,LICEO BOLIVARIANO LINO GALLARDO,3376.0,144,-0.296693,-0.259715,2,0.259715,0.278204,0.278818,-0.278204,0.278204,0.018489,recent_distance,common,0.259715,1,2,longitudinal,2013,,
020101013,02,Anzoategui,UNIDAD EDUCATIVA NARCISO FRAGACHAN,5010.0,6,7.935997,0.414731,2,0.414731,4.175364,5.619255,4.175364,4.175364,3.760633,recent_distance,common,0.414731,1,2,longitudinal,2013,,
