transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,target,selector,cohort,n_difiere_otras_features
2013,longitudinal,baseline,300,01,Distrito Capital,9,899,899,899,9,9,100.0,100.0,54.890036,55.655355,0.765319,55.655355,51.320369,51.699289,0.378921,-3.569668,-3.956066,-0.386398,1608977.0,2013,recent_distance,common,9
2013,longitudinal,baseline,300,02,Anzoategui,6,598,598,598,6,6,100.0,100.0,51.581067,52.00211,0.421043,52.00211,47.323629,46.637338,-0.686291,-4.257439,-5.364772,-1.107333,1006509.0,2013,recent_distance,common,6
2013,longitudinal,baseline,300,03,Apure,3,317,316,317,3,3,100.0,100.0,66.112384,66.195327,0.082942,66.195327,61.76014,61.479029,-0.281111,-4.352244,-4.716298,-0.364053,309558.0,2013,recent_distance,common,2
2013,longitudinal,baseline,300,04,Aragua,7,623,623,623,7,7,100.0,100.0,58.642441,59.783182,1.140741,59.783182,54.054519,53.914511,-0.140008,-4.587922,-5.868671,-1.280749,1164714.0,2013,recent_distance,common,7
2013,longitudinal,baseline,300,05,Barinas,4,508,506,508,4,4,100.0,100.0,59.234242,58.168447,-1.065796,58.168447,52.188214,49.622465,-2.565749,-7.046028,-8.545981,-1.499953,523946.0,2013,recent_distance,common,4
2013,longitudinal,baseline,300,06,Bolivar,6,708,707,708,6,6,100.0,100.0,53.738039,54.262929,0.52489,54.262929,47.879948,45.563662,-2.316286,-5.858091,-8.699267,-2.841176,941252.0,2013,recent_distance,common,6
2013,longitudinal,baseline,300,07,Carabobo,8,658,658,658,8,8,100.0,100.0,54.506635,53.997458,-0.509178,53.997458,50.513511,49.632965,-0.880546,-3.993125,-4.364493,-0.371369,1516239.0,2013,recent_distance,common,8
2013,longitudinal,baseline,300,08,Cojedes,2,248,248,248,2,2,100.0,100.0,65.315293,64.037406,-1.277887,64.037406,61.165345,59.492063,-1.673282,-4.149947,-4.545342,-0.395395,223028.0,2013,recent_distance,common,2
2013,longitudinal,baseline,300,09,Falcon,4,691,691,691,4,4,100.0,100.0,59.876416,59.596794,-0.279622,59.596794,53.03365,51.768906,-1.264744,-6.842766,-7.827888,-0.985122,634614.0,2013,recent_distance,common,4
2013,longitudinal,baseline,300,10,Guarico,4,431,422,431,4,4,100.0,100.0,64.171017,63.920847,-0.250171,63.920847,59.289042,59.022634,-0.266407,-4.881976,-4.898212,-0.016237,500154.0,2013,recent_distance,common,3
2013,longitudinal,baseline,300,11,Lara,7,990,990,990,7,7,100.0,100.0,51.456205,51.340507,-0.115698,51.340507,47.719486,47.059237,-0.660249,-3.736719,-4.28127,-0.544552,1197690.0,2013,recent_distance,common,7
