record_type,from_year,to_year,n_centros,pearson,spearman,ols_slope,ols_intercept,r2,mae_delta_residual,prev_threshold_pp,next_threshold_pp,pct_permanece,target,feature,quantile,feature_min,feature_max,abs_residual_target_mae,abs_residual_target_median
transition_correlation,2006.0,2012.0,10540,0.866145,0.844364,0.950215,0.505726,0.750206,6.213999,,,,,,,,,,
threshold_persistence,2006.0,2012.0,525,,,,,,,1.0,2.0,0.186667,,,,,,,
threshold_persistence,2006.0,2012.0,525,,,,,,,1.0,5.0,0.500952,,,,,,,
threshold_persistence,2006.0,2012.0,525,,,,,,,1.0,10.0,0.792381,,,,,,,
threshold_persistence,2006.0,2012.0,1035,,,,,,,2.0,2.0,0.200966,,,,,,,
threshold_persistence,2006.0,2012.0,1035,,,,,,,2.0,5.0,0.50628,,,,,,,
threshold_persistence,2006.0,2012.0,1035,,,,,,,2.0,10.0,0.791304,,,,,,,
threshold_persistence,2006.0,2012.0,2510,,,,,,,5.0,2.0,0.188845,,,,,,,
threshold_persistence,2006.0,2012.0,2510,,,,,,,5.0,5.0,0.47251,,,,,,,
threshold_persistence,2006.0,2012.0,2510,,,,,,,5.0,10.0,0.766135,,,,,,,
threshold_persistence,2006.0,2012.0,4882,,,,,,,10.0,2.0,0.15465,,,,,,,
threshold_persistence,2006.0,2012.0,4882,,,,,,,10.0,5.0,0.392872,,,,,,,
threshold_persistence,2006.0,2012.0,4882,,,,,,,10.0,10.0,0.695617,,,,,,,
transition_correlation,2012.0,2013.0,13684,0.977578,0.979081,0.994593,0.47326,0.955659,2.436358,,,,,,,,,,
threshold_persistence,2012.0,2013.0,486,,,,,,,1.0,2.0,0.58642,,,,,,,
threshold_persistence,2012.0,2013.0,486,,,,,,,1.0,5.0,0.930041,,,,,,,
threshold_persistence,2012.0,2013.0,486,,,,,,,1.0,10.0,0.989712,,,,,,,
threshold_persistence,2012.0,2013.0,1019,,,,,,,2.0,2.0,0.557409,,,,,,,
threshold_persistence,2012.0,2013.0,1019,,,,,,,2.0,5.0,0.911678,,,,,,,
threshold_persistence,2012.0,2013.0,1019,,,,,,,2.0,10.0,0.988224,,,,,,,
threshold_persistence,2012.0,2013.0,2659,,,,,,,5.0,2.0,0.364047,,,,,,,
threshold_persistence,2012.0,2013.0,2659,,,,,,,5.0,5.0,0.795036,,,,,,,
threshold_persistence,2012.0,2013.0,2659,,,,,,,5.0,10.0,0.981572,,,,,,,
threshold_persistence,2012.0,2013.0,5134,,,,,,,10.0,2.0,0.20374,,,,,,,
threshold_persistence,2012.0,2013.0,5134,,,,,,,10.0,5.0,0.505649,,,,,,,
threshold_persistence,2012.0,2013.0,5134,,,,,,,10.0,10.0,0.90261,,,,,,,
