target,cohort,selector,centros_seleccionados,estados_completos,estados_evaluados,mae,rmse,medae,pct_dentro_2pp,pct_dentro_5pp,pct_dentro_10pp,max_error_abs,max_error_estado,max_error_firmado,centros_comunes_cuatro_selectores,pct_comun_sobre_120
2013,common,historical_mae,120,24,24,1.493739,1.647265,1.476225,0.666667,1.0,1.0,2.935026,Bolivar,-2.935026,8,6.666667
2013,common,historical_rmse,120,24,24,1.282244,1.503419,1.362712,0.75,1.0,1.0,3.060128,Bolivar,-3.060128,8,6.666667
2013,common,historical_volatility,120,24,24,6.472389,8.854382,5.661228,0.125,0.458333,0.875,29.390162,Miranda,-29.390162,8,6.666667
2013,common,recent_distance,120,24,24,1.788325,3.832658,0.965674,0.833333,0.958333,0.958333,17.684684,Delta Amacuro,17.684684,8,6.666667
2013,operational,historical_mae,120,24,24,1.800079,2.325365,1.574246,0.666667,0.958333,1.0,8.023132,Delta Amacuro,-8.023132,8,6.666667
2013,operational,historical_rmse,120,24,24,1.590075,2.215026,1.491971,0.666667,0.958333,1.0,8.023132,Delta Amacuro,-8.023132,8,6.666667
2013,operational,historical_volatility,120,24,24,6.472389,8.854382,5.661228,0.125,0.458333,0.875,29.390162,Miranda,-29.390162,8,6.666667
2013,operational,recent_distance,120,24,24,1.280279,1.707237,0.965674,0.833333,0.958333,1.0,5.491584,Delta Amacuro,-5.491584,8,6.666667
2018,common,historical_mae,120,24,24,2.365332,3.476933,1.759294,0.583333,0.916667,1.0,9.732823,Yaracuy,-9.732823,2,1.666667
2018,common,historical_rmse,120,24,24,2.936463,3.335551,2.838264,0.291667,0.875,1.0,6.015737,Merida,6.015737,2,1.666667
2018,common,historical_volatility,120,24,24,2.734326,3.843087,1.643712,0.541667,0.833333,0.958333,10.849481,Miranda,-10.849481,2,1.666667
2018,common,recent_distance,120,24,24,3.942275,4.971262,3.389514,0.208333,0.75,0.916667,12.263409,Delta Amacuro,12.263409,2,1.666667
2018,operational,historical_mae,120,24,24,2.365332,3.476933,1.759294,0.583333,0.916667,1.0,9.732823,Yaracuy,-9.732823,2,1.666667
2018,operational,historical_rmse,120,24,24,2.936463,3.335551,2.838264,0.291667,0.875,1.0,6.015737,Merida,6.015737,2,1.666667
2018,operational,historical_volatility,120,24,24,2.734326,3.843087,1.643712,0.541667,0.833333,0.958333,10.849481,Miranda,-10.849481,2,1.666667
2018,operational,recent_distance,120,24,24,3.942275,4.971262,3.389514,0.208333,0.75,0.916667,12.263409,Delta Amacuro,12.263409,2,1.666667
2024,common,historical_mae,120,24,24,3.08593,3.822785,2.778686,0.333333,0.916667,1.0,9.632806,Amazonas,-9.632806,7,5.833333
2024,common,historical_rmse,120,24,24,3.162619,3.847561,2.892492,0.416667,0.791667,1.0,7.295703,Sucre,-7.295703,7,5.833333
2024,common,historical_volatility,120,24,24,3.676342,4.594878,2.934579,0.333333,0.666667,1.0,9.975324,Sucre,-9.975324,7,5.833333
2024,common,recent_distance,120,24,24,3.386026,4.20824,2.930494,0.333333,0.708333,1.0,9.906986,Barinas,-9.906986,7,5.833333
2024,operational,historical_mae,120,24,24,2.893015,3.56392,2.634699,0.375,0.875,1.0,9.10485,Sucre,-9.10485,6,5.0
2024,operational,historical_rmse,120,24,24,3.150527,3.877471,2.892492,0.416667,0.833333,1.0,7.623378,Amazonas,-7.623378,6,5.0
2024,operational,historical_volatility,120,24,24,3.676342,4.594878,2.934579,0.333333,0.666667,1.0,9.975324,Sucre,-9.975324,6,5.0
2024,operational,recent_distance,120,24,24,3.386584,4.209143,2.930494,0.333333,0.708333,1.0,9.906986,Barinas,-9.906986,6,5.0
