record_type,target,n_hist,n_centros,pct_frame,electores_median,electores_mean,abs_residual_target_mean,abs_residual_target_median,has_recent_distance_pct,has_historical_mae_pct,selectable_common_cohort_pct,cod_estado,estado,pct_state_frame,history_group,from_year,to_year,total_centros_origen,total_centros_destino,matched,unmatched,match_rate
n_hist_summary,2013.0,0.0,7.0,0.051166,529.0,521.714286,16.004798,14.921314,0.0,0.0,0.0,,,,,,,,,,,
n_hist_state_distribution,2013.0,0.0,1.0,,,,,,,,,06,Bolivar,0.141243,,,,,,,,
n_hist_state_distribution,2013.0,0.0,2.0,,,,,,,,,10,Guarico,0.464037,,,,,,,,
n_hist_state_distribution,2013.0,0.0,1.0,,,,,,,,,14,Monagas,0.21322,,,,,,,,
n_hist_state_distribution,2013.0,0.0,2.0,,,,,,,,,22,Amazonas,1.587302,,,,,,,,
n_hist_state_distribution,2013.0,0.0,1.0,,,,,,,,,23,Delta Amacuro,0.561798,,,,,,,,
n_hist_summary,2013.0,1.0,3135.0,22.914992,324.0,485.765869,20.025672,18.811517,100.0,100.0,0.0,,,,,,,,,,,
n_hist_state_distribution,2013.0,1.0,225.0,,,,,,,,,01,Distrito Capital,25.027809,,,,,,,,
n_hist_state_distribution,2013.0,1.0,105.0,,,,,,,,,02,Anzoategui,17.558528,,,,,,,,
n_hist_state_distribution,2013.0,1.0,104.0,,,,,,,,,03,Apure,32.807571,,,,,,,,
n_hist_state_distribution,2013.0,1.0,201.0,,,,,,,,,04,Aragua,32.263242,,,,,,,,
n_hist_state_distribution,2013.0,1.0,117.0,,,,,,,,,05,Barinas,23.031496,,,,,,,,
n_hist_state_distribution,2013.0,1.0,178.0,,,,,,,,,06,Bolivar,25.141243,,,,,,,,
n_hist_state_distribution,2013.0,1.0,175.0,,,,,,,,,07,Carabobo,26.595745,,,,,,,,
n_hist_state_distribution,2013.0,1.0,80.0,,,,,,,,,08,Cojedes,32.258065,,,,,,,,
n_hist_state_distribution,2013.0,1.0,114.0,,,,,,,,,09,Falcon,16.497829,,,,,,,,
n_hist_state_distribution,2013.0,1.0,143.0,,,,,,,,,10,Guarico,33.178654,,,,,,,,
n_hist_state_distribution,2013.0,1.0,216.0,,,,,,,,,11,Lara,21.818182,,,,,,,,
n_hist_state_distribution,2013.0,1.0,99.0,,,,,,,,,12,Merida,19.2607,,,,,,,,
n_hist_state_distribution,2013.0,1.0,203.0,,,,,,,,,13,Miranda,19.519231,,,,,,,,
n_hist_state_distribution,2013.0,1.0,112.0,,,,,,,,,14,Monagas,23.880597,,,,,,,,
n_hist_state_distribution,2013.0,1.0,68.0,,,,,,,,,15,Nueva Esparta,29.565217,,,,,,,,
n_hist_state_distribution,2013.0,1.0,88.0,,,,,,,,,16,Portuguesa,14.170692,,,,,,,,
n_hist_state_distribution,2013.0,1.0,94.0,,,,,,,,,17,Sucre,14.551084,,,,,,,,
n_hist_state_distribution,2013.0,1.0,143.0,,,,,,,,,18,Tachira,21.1226,,,,,,,,
n_hist_state_distribution,2013.0,1.0,144.0,,,,,,,,,19,Trujillo,22.712934,,,,,,,,
n_hist_state_distribution,2013.0,1.0,110.0,,,,,,,,,20,Yaracuy,23.809524,,,,,,,,
n_hist_state_distribution,2013.0,1.0,240.0,,,,,,,,,21,Zulia,19.753086,,,,,,,,
n_hist_state_distribution,2013.0,1.0,62.0,,,,,,,,,22,Amazonas,49.206349,,,,,,,,
n_hist_state_distribution,2013.0,1.0,52.0,,,,,,,,,23,Delta Amacuro,29.213483,,,,,,,,
n_hist_state_distribution,2013.0,1.0,62.0,,,,,,,,,24,La Guaira,31.313131,,,,,,,,
n_hist_summary,2013.0,2.0,10539.0,77.033843,1195.0,1638.704147,14.430332,12.211384,100.0,100.0,100.0,,,,,,,,,,,
n_hist_state_distribution,2013.0,2.0,674.0,,,,,,,,,01,Distrito Capital,74.972191,,,,,,,,
n_hist_state_distribution,2013.0,2.0,493.0,,,,,,,,,02,Anzoategui,82.441472,,,,,,,,
n_hist_state_distribution,2013.0,2.0,213.0,,,,,,,,,03,Apure,67.192429,,,,,,,,
n_hist_state_distribution,2013.0,2.0,422.0,,,,,,,,,04,Aragua,67.736758,,,,,,,,
n_hist_state_distribution,2013.0,2.0,391.0,,,,,,,,,05,Barinas,76.968504,,,,,,,,
n_hist_state_distribution,2013.0,2.0,529.0,,,,,,,,,06,Bolivar,74.717514,,,,,,,,
n_hist_state_distribution,2013.0,2.0,483.0,,,,,,,,,07,Carabobo,73.404255,,,,,,,,
n_hist_state_distribution,2013.0,2.0,168.0,,,,,,,,,08,Cojedes,67.741935,,,,,,,,
n_hist_state_distribution,2013.0,2.0,577.0,,,,,,,,,09,Falcon,83.502171,,,,,,,,
n_hist_state_distribution,2013.0,2.0,286.0,,,,,,,,,10,Guarico,66.357309,,,,,,,,
n_hist_state_distribution,2013.0,2.0,774.0,,,,,,,,,11,Lara,78.181818,,,,,,,,
n_hist_state_distribution,2013.0,2.0,415.0,,,,,,,,,12,Merida,80.7393,,,,,,,,
n_hist_state_distribution,2013.0,2.0,837.0,,,,,,,,,13,Miranda,80.480769,,,,,,,,
n_hist_state_distribution,2013.0,2.0,356.0,,,,,,,,,14,Monagas,75.906183,,,,,,,,
n_hist_state_distribution,2013.0,2.0,162.0,,,,,,,,,15,Nueva Esparta,70.434783,,,,,,,,
n_hist_state_distribution,2013.0,2.0,533.0,,,,,,,,,16,Portuguesa,85.829308,,,,,,,,
n_hist_state_distribution,2013.0,2.0,552.0,,,,,,,,,17,Sucre,85.448916,,,,,,,,
n_hist_state_distribution,2013.0,2.0,534.0,,,,,,,,,18,Tachira,78.8774,,,,,,,,
n_hist_state_distribution,2013.0,2.0,490.0,,,,,,,,,19,Trujillo,77.287066,,,,,,,,
n_hist_state_distribution,2013.0,2.0,352.0,,,,,,,,,20,Yaracuy,76.190476,,,,,,,,
n_hist_state_distribution,2013.0,2.0,975.0,,,,,,,,,21,Zulia,80.246914,,,,,,,,
n_hist_state_distribution,2013.0,2.0,62.0,,,,,,,,,22,Amazonas,49.206349,,,,,,,,
n_hist_state_distribution,2013.0,2.0,125.0,,,,,,,,,23,Delta Amacuro,70.224719,,,,,,,,
n_hist_state_distribution,2013.0,2.0,136.0,,,,,,,,,24,La Guaira,68.686869,,,,,,,,
history_length_summary,2013.0,,3142.0,22.966157,324.0,485.845958,20.016714,18.808125,,,,,,,short_history,,,,,,,
history_length_summary,2013.0,,10539.0,77.033843,1195.0,1638.704147,14.430332,12.211384,,,,,,,long_history,,,,,,,
