record_type,from_year,to_year,n_centros,pearson,spearman,ols_slope,ols_intercept,r2,mae_delta_turnout_residual,cod_estado,estado,n_estados,median_pearson_state,median_r2_state,p25_pearson_state,p75_pearson_state,p25_r2_state,p75_r2_state,relation,skip_reason
pooled_turnout_persistence,2006,2012,10540.0,0.67826,0.744951,0.514504,-0.016459,0.460037,0.050691,,,,,,,,,,,
state_turnout_persistence,2006,2012,674.0,0.70587,0.774163,0.486825,-0.004374,0.498253,0.034502,01,Distrito Capital,,,,,,,,,
state_turnout_persistence,2006,2012,493.0,0.750676,0.824627,0.489164,-0.01326,0.563514,0.047073,02,Anzoategui,,,,,,,,,
state_turnout_persistence,2006,2012,213.0,0.687673,0.748542,0.50374,-0.025479,0.472895,0.066015,03,Apure,,,,,,,,,
state_turnout_persistence,2006,2012,422.0,0.51247,0.711186,0.391698,-0.011127,0.262626,0.044293,04,Aragua,,,,,,,,,
state_turnout_persistence,2006,2012,391.0,0.754316,0.736064,0.509499,-0.021806,0.568993,0.054936,05,Barinas,,,,,,,,,
state_turnout_persistence,2006,2012,529.0,0.736332,0.736129,0.640063,-0.024395,0.542184,0.059166,06,Bolivar,,,,,,,,,
state_turnout_persistence,2006,2012,483.0,0.679172,0.736425,0.4888,-0.007272,0.461274,0.039486,07,Carabobo,,,,,,,,,
state_turnout_persistence,2006,2012,168.0,0.682693,0.679921,0.381889,-0.019307,0.46607,0.058365,08,Cojedes,,,,,,,,,
state_turnout_persistence,2006,2012,577.0,0.717693,0.748483,0.494864,-0.024519,0.515083,0.062606,09,Falcon,,,,,,,,,
state_turnout_persistence,2006,2012,286.0,0.70621,0.775334,0.507946,-0.016012,0.498733,0.048969,10,Guarico,,,,,,,,,
state_turnout_persistence,2006,2012,774.0,0.716465,0.778516,0.500744,-0.021324,0.513322,0.056379,11,Lara,,,,,,,,,
state_turnout_persistence,2006,2012,415.0,0.691195,0.798763,0.539903,-0.017782,0.477751,0.039668,12,Merida,,,,,,,,,
state_turnout_persistence,2006,2012,837.0,0.679922,0.683699,0.470881,-0.008456,0.462295,0.047321,13,Miranda,,,,,,,,,
state_turnout_persistence,2006,2012,356.0,0.758369,0.82011,0.635549,-0.021098,0.575124,0.044262,14,Monagas,,,,,,,,,
state_turnout_persistence,2006,2012,162.0,0.779713,0.805637,0.533546,-0.005549,0.607953,0.028986,15,Nueva Esparta,,,,,,,,,
state_turnout_persistence,2006,2012,533.0,0.474169,0.668169,0.381575,-0.013975,0.224837,0.058074,16,Portuguesa,,,,,,,,,
state_turnout_persistence,2006,2012,552.0,0.764111,0.838348,0.608541,-0.025789,0.583866,0.054158,17,Sucre,,,,,,,,,
state_turnout_persistence,2006,2012,534.0,0.71443,0.747353,0.51388,-0.010118,0.51041,0.050996,18,Tachira,,,,,,,,,
state_turnout_persistence,2006,2012,491.0,0.685812,0.766422,0.568206,-0.021752,0.470338,0.048992,19,Trujillo,,,,,,,,,
state_turnout_persistence,2006,2012,352.0,0.457082,0.728532,0.384079,-0.016784,0.208924,0.052778,20,Yaracuy,,,,,,,,,
state_turnout_persistence,2006,2012,975.0,0.735099,0.750174,0.579687,-0.010135,0.54037,0.047445,21,Zulia,,,,,,,,,
state_turnout_persistence,2006,2012,62.0,0.186295,0.424693,0.227036,-0.052154,0.034706,0.091473,22,Amazonas,,,,,,,,,
state_turnout_persistence,2006,2012,125.0,0.310764,0.372237,0.277938,-0.023084,0.096574,0.100881,23,Delta Amacuro,,,,,,,,,
state_turnout_persistence,2006,2012,136.0,0.690591,0.741258,0.385644,-0.01636,0.476915,0.057857,24,La Guaira,,,,,,,,,
state_turnout_summary,2006,2012,,,,,,,,,,24.0,0.698533,0.488002,0.679735,0.735407,0.462039,0.540824,,
turnout_vote_relation,2006,2012,10540.0,0.167417,0.163289,23.123853,12.467432,0.028028,,,,,,,,,,,abs_prev_turnout_vs_abs_next_vote,
turnout_vote_relation,2006,2012,10540.0,0.027765,0.015861,3.044295,0.347605,0.000771,,,,,,,,,,,delta_turnout_vs_delta_vote,
pooled_turnout_persistence,2012,2013,13656.0,0.895037,0.931087,0.873016,-0.004581,0.801091,0.018849,,,,,,,,,,,
state_turnout_persistence,2012,2013,899.0,0.971461,0.973408,0.940102,-0.00057,0.943736,0.009176,01,Distrito Capital,,,,,,,,,
state_turnout_persistence,2012,2013,598.0,0.934489,0.945127,0.896786,-0.004411,0.873269,0.014915,02,Anzoategui,,,,,,,,,
state_turnout_persistence,2012,2013,316.0,0.860911,0.894812,0.909008,-0.002987,0.741167,0.030046,03,Apure,,,,,,,,,
state_turnout_persistence,2012,2013,623.0,0.818405,0.941704,0.674428,4.8e-05,0.669787,0.013826,04,Aragua,,,,,,,,,
state_turnout_persistence,2012,2013,506.0,0.881633,0.901319,0.987521,-0.009951,0.777276,0.024458,05,Barinas,,,,,,,,,
state_turnout_persistence,2012,2013,707.0,0.93313,0.912996,1.00083,-0.010191,0.870732,0.024692,06,Bolivar,,,,,,,,,
state_turnout_persistence,2012,2013,658.0,0.954619,0.928944,0.883047,-0.003236,0.911298,0.013233,07,Carabobo,,,,,,,,,
state_turnout_persistence,2012,2013,248.0,0.936856,0.918758,0.983654,-0.003572,0.8777,0.017461,08,Cojedes,,,,,,,,,
state_turnout_persistence,2012,2013,691.0,0.914019,0.911165,0.884103,-0.01097,0.835431,0.023531,09,Falcon,,,,,,,,,
state_turnout_persistence,2012,2013,422.0,0.803757,0.925923,0.703665,-0.00264,0.646025,0.022665,10,Guarico,,,,,,,,,
state_turnout_persistence,2012,2013,990.0,0.872048,0.935911,0.81686,-0.0059,0.760467,0.018993,11,Lara,,,,,,,,,
state_turnout_persistence,2012,2013,514.0,0.939936,0.937773,0.941914,-0.00513,0.88348,0.015155,12,Merida,,,,,,,,,
state_turnout_persistence,2012,2013,1038.0,0.953261,0.95658,0.936356,0.000627,0.908706,0.012711,13,Miranda,,,,,,,,,
state_turnout_persistence,2012,2013,467.0,0.917411,0.952875,0.848612,-0.005439,0.841643,0.018601,14,Monagas,,,,,,,,,
state_turnout_persistence,2012,2013,230.0,0.642266,0.878207,0.425362,0.004278,0.412506,0.01758,15,Nueva Esparta,,,,,,,,,
state_turnout_persistence,2012,2013,620.0,0.778845,0.888217,0.641904,-0.004119,0.6066,0.024308,16,Portuguesa,,,,,,,,,
state_turnout_persistence,2012,2013,646.0,0.942353,0.948038,0.924668,-0.010606,0.888029,0.023208,17,Sucre,,,,,,,,,
state_turnout_persistence,2012,2013,677.0,0.944441,0.924619,1.082199,-0.003105,0.891968,0.0202,18,Tachira,,,,,,,,,
state_turnout_persistence,2012,2013,633.0,0.90963,0.93227,0.903633,-0.010992,0.827427,0.024043,19,Trujillo,,,,,,,,,
state_turnout_persistence,2012,2013,462.0,0.726176,0.92716,0.556909,0.00039,0.527331,0.020159,20,Yaracuy,,,,,,,,,
state_turnout_persistence,2012,2013,1212.0,0.943572,0.943176,0.937566,-0.004178,0.890328,0.015979,21,Zulia,,,,,,,,,
state_turnout_persistence,2012,2013,124.0,0.575824,0.883751,0.453227,0.006956,0.331574,0.045481,22,Amazonas,,,,,,,,,
state_turnout_persistence,2012,2013,177.0,0.928521,0.917778,0.925517,-0.002287,0.862151,0.028482,23,Delta Amacuro,,,,,,,,,
state_turnout_persistence,2012,2013,198.0,0.956582,0.944463,0.998883,-0.002556,0.915049,0.013094,24,La Guaira,,,,,,,,,
state_turnout_summary,2012,2013,,,,,,,,,,24.0,0.922966,0.851897,0.850284,0.942658,0.723322,0.888604,,
turnout_vote_relation,2012,2013,13656.0,0.192061,0.192723,35.690294,13.649815,0.036887,,,,,,,,,,,abs_prev_turnout_vs_abs_next_vote,
turnout_vote_relation,2012,2013,13656.0,-0.08874,-0.130087,-8.265115,0.39195,0.007875,,,,,,,,,,,delta_turnout_vs_delta_vote,
pooled_turnout_persistence,2013,2018,13260.0,0.229555,0.185032,0.39893,0.043724,0.052695,0.120525,,,,,,,,,,,
state_turnout_persistence,2013,2018,859.0,0.504623,0.465181,1.305679,0.021865,0.254644,0.106768,01,Distrito Capital,,,,,,,,,
state_turnout_persistence,2013,2018,594.0,0.116836,0.086885,0.229109,0.031613,0.013651,0.116635,02,Anzoategui,,,,,,,,,
state_turnout_persistence,2013,2018,303.0,0.74374,0.719743,0.946834,0.000164,0.553149,0.067086,03,Apure,,,,,,,,,
state_turnout_persistence,2013,2018,588.0,0.007229,-0.010781,0.018329,0.041037,5.2e-05,0.13256,04,Aragua,,,,,,,,,
state_turnout_persistence,2013,2018,474.0,0.40973,0.324941,0.592092,0.03823,0.167879,0.102963,05,Barinas,,,,,,,,,
state_turnout_persistence,2013,2018,681.0,0.365959,0.246407,0.449963,0.028866,0.133926,0.119129,06,Bolivar,,,,,,,,,
state_turnout_persistence,2013,2018,653.0,-0.108564,-0.154208,-0.236349,0.051051,0.011786,0.14728,07,Carabobo,,,,,,,,,
state_turnout_persistence,2013,2018,239.0,0.440201,0.439573,0.608743,0.030699,0.193777,0.071378,08,Cojedes,,,,,,,,,
state_turnout_persistence,2013,2018,673.0,0.19536,0.164382,0.305347,0.072145,0.038166,0.133386,09,Falcon,,,,,,,,,
state_turnout_persistence,2013,2018,412.0,0.420127,0.348711,0.614373,0.020732,0.176507,0.083988,10,Guarico,,,,,,,,,
state_turnout_persistence,2013,2018,950.0,0.097281,0.127225,0.188442,0.067848,0.009464,0.164939,11,Lara,,,,,,,,,
state_turnout_persistence,2013,2018,511.0,-0.069842,-0.182063,-0.134373,0.051303,0.004878,0.141659,12,Merida,,,,,,,,,
state_turnout_persistence,2013,2018,1026.0,0.253753,0.257909,0.793759,0.073331,0.064391,0.191504,13,Miranda,,,,,,,,,
state_turnout_persistence,2013,2018,425.0,0.257458,0.220588,0.349082,0.029314,0.066285,0.09316,14,Monagas,,,,,,,,,
state_turnout_persistence,2013,2018,226.0,0.291081,0.235774,0.82279,0.011581,0.084728,0.092443,15,Nueva Esparta,,,,,,,,,
state_turnout_persistence,2013,2018,610.0,0.21346,0.222204,0.402649,0.048626,0.045565,0.117575,16,Portuguesa,,,,,,,,,
state_turnout_persistence,2013,2018,633.0,0.565288,0.537009,0.575606,0.020025,0.31955,0.075193,17,Sucre,,,,,,,,,
state_turnout_persistence,2013,2018,666.0,0.144076,0.002163,0.187913,0.057738,0.020758,0.114274,18,Tachira,,,,,,,,,
state_turnout_persistence,2013,2018,630.0,0.240451,0.160994,0.286965,0.044047,0.057817,0.112363,19,Trujillo,,,,,,,,,
state_turnout_persistence,2013,2018,456.0,0.310918,0.344705,0.489865,0.030995,0.09667,0.082138,20,Yaracuy,,,,,,,,,
