record_type,from_year,to_year,n_estados,median_pearson_state,p25_pearson_state,p75_pearson_state,median_r2_state,p25_r2_state,p75_r2_state,n_states_pearson_positive,n_states_pearson_gt_0_5,n_states_r2_gt_0_25,n_states_r2_gt_0_50,cod_estado,estado,n_centros,pearson,spearman,ols_slope,ols_intercept,r2,sd_residual_prev,sd_residual_next,mae_delta_residual
national_summary,2006,2012,24.0,0.848861,0.789724,0.876363,0.720567,0.623688,0.768045,24.0,23.0,23.0,22.0,,,,,,,,,,,
national_summary,2012,2013,24.0,0.976843,0.971263,0.984611,0.954223,0.943352,0.96946,24.0,24.0,24.0,24.0,,,,,,,,,,,
national_summary,2013,2018,24.0,0.656948,0.548545,0.753791,0.431657,0.301129,0.568289,24.0,20.0,20.0,8.0,,,,,,,,,,,
national_summary,2018,2024,24.0,0.697929,0.627208,0.765719,0.487186,0.393569,0.586327,24.0,21.0,21.0,11.0,,,,,,,,,,,
state_transition,2006,2012,,,,,,,,,,,,01,Distrito Capital,674.0,0.96526,0.961252,0.944586,-1.930647,0.931727,17.790669,17.409622,3.709894
state_transition,2006,2012,,,,,,,,,,,,02,Anzoategui,493.0,0.871961,0.850517,0.958456,0.503572,0.760315,13.888126,15.26577,5.697961
state_transition,2006,2012,,,,,,,,,,,,03,Apure,213.0,0.750726,0.7405,0.863431,1.176524,0.563589,10.815221,12.438897,6.4629
state_transition,2006,2012,,,,,,,,,,,,04,Aragua,422.0,0.941833,0.940374,1.080498,-0.719027,0.88705,15.267957,17.515829,4.359101
state_transition,2006,2012,,,,,,,,,,,,05,Barinas,391.0,0.781336,0.786138,0.855526,2.607492,0.610487,13.966392,15.292534,7.546096
state_transition,2006,2012,,,,,,,,,,,,06,Bolivar,529.0,0.865197,0.838823,1.025225,0.323755,0.748565,14.771342,17.503473,6.41945
state_transition,2006,2012,,,,,,,,,,,,07,Carabobo,483.0,0.961876,0.950464,1.029961,-1.12202,0.925205,18.095853,19.37675,3.849146
state_transition,2006,2012,,,,,,,,,,,,08,Cojedes,168.0,0.79252,0.768074,0.958045,0.796527,0.628088,11.242378,13.590449,6.492958
state_transition,2006,2012,,,,,,,,,,,,09,Falcon,577.0,0.796646,0.806551,0.845477,2.233542,0.634645,14.359501,15.239682,7.001481
state_transition,2006,2012,,,,,,,,,,,,10,Guarico,286.0,0.847368,0.825144,1.015359,-0.021038,0.718033,10.928111,13.094609,5.277164
state_transition,2006,2012,,,,,,,,,,,,11,Lara,774.0,0.863497,0.847673,0.990908,1.900548,0.745627,16.884336,19.375649,7.707373
state_transition,2006,2012,,,,,,,,,,,,12,Merida,415.0,0.824168,0.802155,0.961964,1.760745,0.679253,13.220792,15.431238,6.91924
state_transition,2006,2012,,,,,,,,,,,,13,Miranda,837.0,0.967387,0.94894,0.928948,-1.936863,0.935837,25.025396,24.031008,5.028056
state_transition,2006,2012,,,,,,,,,,,,14,Monagas,356.0,0.688117,0.665887,0.814304,1.69999,0.473506,11.981979,14.17923,7.798512
state_transition,2006,2012,,,,,,,,,,,,15,Nueva Esparta,162.0,0.855435,0.822463,0.847824,-1.439224,0.731769,11.956031,11.849657,4.886802
state_transition,2006,2012,,,,,,,,,,,,16,Portuguesa,533.0,0.873098,0.871794,1.125623,0.979103,0.762301,11.986849,15.453779,5.664061
state_transition,2006,2012,,,,,,,,,,,,17,Sucre,552.0,0.751668,0.734033,0.941506,2.481993,0.565005,11.128611,13.939196,7.593052
state_transition,2006,2012,,,,,,,,,,,,18,Tachira,534.0,0.796336,0.793352,0.854831,2.746935,0.634152,14.065235,15.098388,7.291171
state_transition,2006,2012,,,,,,,,,,,,19,Trujillo,491.0,0.850354,0.84001,1.028864,1.203856,0.723102,12.793869,15.47961,6.434194
state_transition,2006,2012,,,,,,,,,,,,20,Yaracuy,352.0,0.886159,0.863064,1.103011,0.002668,0.785278,12.684513,15.788537,5.894444
state_transition,2006,2012,,,,,,,,,,,,21,Zulia,975.0,0.810802,0.795791,0.916242,-0.976188,0.657401,13.467403,15.218746,6.966709
state_transition,2006,2012,,,,,,,,,,,,22,Amazonas,62.0,0.001931,0.212007,0.001708,-1.589679,4e-06,17.160748,15.177427,14.273073
state_transition,2006,2012,,,,,,,,,,,,23,Delta Amacuro,125.0,0.780764,0.77988,0.929117,2.119275,0.609592,13.34009,15.874843,7.906536
state_transition,2006,2012,,,,,,,,,,,,24,La Guaira,136.0,0.95836,0.950561,1.104611,-1.0705,0.918454,13.592503,15.666785,3.730438
state_transition,2012,2013,,,,,,,,,,,,01,Distrito Capital,899.0,0.995915,0.995713,0.971161,0.075891,0.991848,19.7199,19.229734,1.332842
state_transition,2012,2013,,,,,,,,,,,,02,Anzoategui,598.0,0.98571,0.984433,0.977358,0.331956,0.971625,15.860281,15.7259,2.025654
state_transition,2012,2013,,,,,,,,,,,,03,Apure,316.0,0.962641,0.958262,1.084054,0.398568,0.926678,12.708552,14.311416,3.016485
state_transition,2012,2013,,,,,,,,,,,,04,Aragua,623.0,0.991845,0.99174,0.993842,0.145857,0.983757,17.464736,17.4999,1.628842
state_transition,2012,2013,,,,,,,,,,,,05,Barinas,506.0,0.960667,0.960679,1.025675,1.500841,0.92288,15.640397,16.698782,3.687118
state_transition,2012,2013,,,,,,,,,,,,06,Bolivar,707.0,0.970597,0.974496,1.00936,0.060486,0.942059,17.775011,18.4849,3.100117
