cod_estado,estado,centros_2024,centros_2025,delta_centros,mesas_2024,mesas_2025,delta_mesas,electores_2024,electores_2025,delta_electores,cuota_2024,cuota_2025,delta_cuota
01,DTTO. CAPITAL,1035,1035,0,2299,2061,-238,1719626,1718275,-1351,8,8,0
02,ANZOATEGUI,714,708,-6,1558,1412,-146,1179184,1179416,232,6,6,0
03,APURE,395,386,-9,615,558,-57,389385,390368,983,3,3,0
04,ARAGUA,657,657,0,1629,1469,-160,1285676,1282507,-3169,7,7,0
05,BARINAS,664,664,0,1028,969,-59,626643,626273,-370,4,4,0
06,BOLIVAR,848,812,-36,1586,1424,-162,1088577,1085226,-3351,6,6,0
07,CARABOBO,750,749,-1,2068,1854,-214,1663947,1659320,-4627,8,8,0
08,COJEDES,300,300,0,452,424,-28,274944,275998,1054,3,3,0
09,FALCON,752,751,-1,1191,1109,-82,737855,738392,537,4,4,0
10,GUARICO,523,519,-4,855,798,-57,572103,570671,-1432,4,4,0
11,LARA,1128,1127,-1,2024,1851,-173,1366783,1363626,-3157,7,7,0
12,MERIDA,545,543,-2,962,886,-76,653145,650922,-2223,4,4,0
13,MIRANDA,1326,1310,-16,2997,2722,-275,2221132,2208168,-12964,10,10,0
14,MONAGAS,582,581,-1,1002,931,-71,692284,691653,-631,4,4,0
15,NUEVA ESPARTA,295,285,-10,550,497,-53,389018,389575,557,3,3,0
16,PORTUGUESA,696,695,-1,1086,1012,-74,692167,692864,697,4,4,0
17,SUCRE,705,702,-3,1112,1038,-74,716839,717916,1077,4,4,0
18,TACHIRA,716,710,-6,1306,1195,-111,863907,864522,615,5,5,0
19,TRUJILLO,675,675,0,982,923,-59,566915,567016,101,4,4,0
20,YARACUY,514,513,-1,762,707,-55,480797,480094,-703,3,3,0
21,ZULIA,1464,1453,-11,3358,3053,-305,2573430,2564769,-8661,12,12,0
22,AMAZONAS,157,148,-9,208,190,-18,120457,120941,484,2,2,0
23,DELTA AMACURO,201,194,-7,256,236,-20,133376,133502,126,2,2,0
24,LA GUAIRA,214,211,-3,422,386,-36,315063,314705,-358,3,3,0
