codigo_centro,estado,municipio,parroquia,centro,mesas_2025,electores_2025,regionales_2025,asamblea_2025,tm_2024,tm_2018,tm_2015,url_regionales,url_asamblea_si_existe,evidencia,clasificacion,razon_clasificacion
060102037,BOLÍVAR,CARONI,ONCE DE ABRIL,UNIDAD EDUCATIVA COLEGIO LA PRADERA,0,669,si,no,"si (1 mesa(s), 669 electores)","si (1 mesa(s), 497 electores)","si (1 mesa(s), 487 electores)",https://regionales.macedoniadelnorte.com/bolivar/caroni/once-de-abril/unidad-educativa-colegio-la-pradera,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb5789292c5 hash 0e0f33cdf74a75d11d46553fb1f653870977d39039cf2e8fe92c4ec4bafa6703; HTML Regionales status 200 hash f02f4cdced18 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_caroni_once-de-abril_unidad-educativa-colegio-la-pradera__426a473f93abcbc0.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
060103016,BOLÍVAR,CARONI,VISTA AL SOL,UNIDAD EDUCATIVA COLEGIO ANDRES ELOY BLANCO,1,271,si,no,"si (1 mesa(s), 271 electores)","si (1 mesa(s), 240 electores)","si (1 mesa(s), 237 electores)",https://regionales.macedoniadelnorte.com/bolivar/caroni/vista-al-sol/unidad-educativa-colegio-andres-eloy-blanco,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb578929288 hash dde3c4300fba1242dd4af6a1113d32e54ac4cf0ef15275fd4a80a4af07df38e8; HTML Regionales status 200 hash 1898f4dd93b9 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_caroni_vista-al-sol_unidad-educativa-colegio-andres-eloy-blanco__c7a24b02d4fdb51b.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,CONFIRMADO,API Regionales 2025 reporta cantidadMesas=1 y votantes>0; pagina publica renderiza el centro; Asamblea 2025 responde 404 y el codigo no esta en el TM reconstruido.
060105032,BOLÍVAR,CARONI,DALLA COSTA,COLEGIO JUAN VICENTE GONZALEZ,1,563,si,no,"si (1 mesa(s), 563 electores)","si (1 mesa(s), 267 electores)","si (1 mesa(s), 262 electores)",https://regionales.macedoniadelnorte.com/bolivar/caroni/dalla-costa/colegio-juan-vicente-gonzalez,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb5789293a8 hash c422734d7e33a91b38dc761b0b2b36c5850fa2fe201f20923ebbcd7ce8863383; HTML Regionales status 200 hash c3d3d2d4a58c cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_caroni_dalla-costa_colegio-juan-vicente-gonzalez__193cc7b53101f213.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,CONFIRMADO,API Regionales 2025 reporta cantidadMesas=1 y votantes>0; pagina publica renderiza el centro; Asamblea 2025 responde 404 y el codigo no esta en el TM reconstruido.
060301020,BOLÍVAR,ANGOSTURA DEL OR,CATEDRAL,ESCUELA ZEA,1,767,si,no,"si (1 mesa(s), 767 electores)","si (1 mesa(s), 800 electores)","si (2 mesa(s), 797 electores)",https://regionales.macedoniadelnorte.com/bolivar/angostura-del-or/catedral/escuela-zea,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f426346dcb578929669 hash 861ac62ac88fe6006240fefa347a3726f1e9c0d8f6f5dbfb77d77e869f466d6a; HTML Regionales status 200 hash c497d539f45e cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_angostura-del-or_catedral_escuela-zea__b8f02ca9779ec3c7.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,CONFIRMADO,API Regionales 2025 reporta cantidadMesas=1 y votantes>0; pagina publica renderiza el centro; Asamblea 2025 responde 404 y el codigo no esta en el TM reconstruido.
060307004,BOLÍVAR,ANGOSTURA DEL OR,ORINOCO,UNIDA EDUCATIVA INTEGRAL BOLIVARIANA CURIAPO,1,91,si,no,"si (1 mesa(s), 91 electores)","si (1 mesa(s), 78 electores)","si (1 mesa(s), 79 electores)",https://regionales.macedoniadelnorte.com/bolivar/angostura-del-or/orinoco/unida-educativa-integral-bolivariana-curiapo,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929acd hash 62fb130d1392ae0464f383d7cf7a48c10863c79b35fbae874e308eb8032b2de3; HTML Regionales status 200 hash b3f2c7c94d90 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_angostura-del-or_orinoco_unida-educativa-integral-bolivariana-curiapo__fb1a99e3906a8892.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,CONFIRMADO,API Regionales 2025 reporta cantidadMesas=1 y votantes>0; pagina publica renderiza el centro; Asamblea 2025 responde 404 y el codigo no esta en el TM reconstruido.
060403005,BOLÍVAR,PIAR,PEDRO COVA,ESCUELA INTEGRAL BOLIVARIANA EL PLOMO,0,195,si,no,"si (1 mesa(s), 195 electores)","si (1 mesa(s), 207 electores)","si (1 mesa(s), 209 electores)",https://regionales.macedoniadelnorte.com/bolivar/piar/pedro-cova/escuela-integral-bolivariana-el-plomo,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929b9c hash 4648c359dc569fcbc34ca2a49eb40afbfd9556f76207c2aa9c5d2bbdf760da6d; HTML Regionales status 200 hash d048a3315e3a cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_piar_pedro-cova_escuela-integral-bolivariana-el-plomo__1eefcb6f4c9458fd.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
060602005,BOLÍVAR,SUCRE,ARIPAO,UNIDAD EDUCATIVA BOLIVARIANA SANTA MARIA DE EREBATO,0,298,si,no,"si (1 mesa(s), 298 electores)","si (1 mesa(s), 212 electores)","si (1 mesa(s), 211 electores)",https://regionales.macedoniadelnorte.com/bolivar/sucre/aripao/unidad-educativa-bolivariana-santa-maria-de-erebato,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c2c hash 156e6ca1254fb9024e500920d0b34e00888732b9abb016fa196dbb8535c8de41; HTML Regionales status 200 hash 73b124aa1009 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_sucre_aripao_unidad-educativa-bolivariana-santa-maria-de-erebato__ca5d0f3d0cdca6af.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
060602006,BOLÍVAR,SUCRE,ARIPAO,CAMPAMENTO ENTRERIOS,0,282,si,no,"si (1 mesa(s), 282 electores)","si (1 mesa(s), 228 electores)","si (1 mesa(s), 230 electores)",https://regionales.macedoniadelnorte.com/bolivar/sucre/aripao/campamento-entrerios,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c2c hash 156e6ca1254fb9024e500920d0b34e00888732b9abb016fa196dbb8535c8de41; HTML Regionales status 200 hash 3865d0541abf cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_sucre_aripao_campamento-entrerios__866f0c9ad94245e3.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
060602009,BOLÍVAR,SUCRE,ARIPAO,ESCUELA BOLIVARIANA SHIMARAÑA,0,141,si,no,"si (1 mesa(s), 141 electores)","si (1 mesa(s), 150 electores)","si (1 mesa(s), 142 electores)",https://regionales.macedoniadelnorte.com/bolivar/sucre/aripao/escuela-bolivariana-shimarana,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c2c hash 156e6ca1254fb9024e500920d0b34e00888732b9abb016fa196dbb8535c8de41; HTML Regionales status 200 hash 0159cc31ac21 cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_sucre_aripao_escuela-bolivariana-shimarana__116a70e8a1ad327b.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
060701010,BOLÍVAR,SIFONTES,CM. TUMEREMO,ESCUELA NACIONAL SAN MARTIN DE TURUNBAN,0,889,si,no,"si (1 mesa(s), 889 electores)","si (1 mesa(s), 625 electores)","si (2 mesa(s), 631 electores)",https://regionales.macedoniadelnorte.com/bolivar/sifontes/cm-tumeremo/escuela-nacional-san-martin-de-turunban,,Regionales API https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f436346dcb578929c5d hash 9b7ebd3cd729abdcf7a0a953ddb1767586404e744b776feb3997fb72d839fd4d; HTML Regionales status 200 hash 193f02a0346d cache backend/data/2025/regionales_candidate_pages_cache/regionales.macedoniadelnorte.com_bolivar_sifontes_cm-tumeremo_escuela-nacional-san-martin-de-turunban__2070c12db6928bbb.html; Asamblea URL status 404; codigo en TM Asamblea reconstruido: no.,INDETERMINADO,"Regionales 2025 renderiza el centro y reporta votantes, pero cantidadMesas=0; puede ser activo sin mesa publicada, residual o no usado para el marco Asamblea."
