codigo_centro,cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,nombre_centro,numero_mesas,electores_por_mesa,total_electores,source_url,source_api_url,source_hash,cache_ref,presente_tm_2024_v2,presente_tm_2024,presente_tm_2018,presente_tm_2015,incluido_tm_candidato,criterio_inclusion,tm_2024_total_electores,tm_2024_mesas,tm_2018_total_electores,tm_2018_mesas,tm_2015_total_electores,tm_2015_mesas,estado_resolucion,observaciones
010114022,01,DISTRITO CAPITAL,01,BLVNO LIBERTADOR,14,EL VALLE,ESCUELA BÁSICA DOCTOR ENRIQUE DELGADO PALACIOS,3,,2622,https://regionales.macedoniadelnorte.com/distrito-capital/blvno-libertador/el-valle/escuela-basica-doctor-enrique-delgado-palacios,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f406346dcb578926158,09fb99f123e5825107a2b3354e3b171c0ca093316e086383b1b9c90cc0f41b71,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f406346dcb578926158__e87145fd08705723.json,si,si,no,si,no,,2622,3,,,3202,6,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
010114071,01,DISTRITO CAPITAL,01,BLVNO LIBERTADOR,14,EL VALLE,IGLESIA EVANGELICA PENTESCOTAL BENDICION RECIBIDA,0,,334,https://regionales.macedoniadelnorte.com/distrito-capital/blvno-libertador/el-valle/iglesia-evangelica-pentescotal-bendicion-recibida,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f406346dcb578926158,09fb99f123e5825107a2b3354e3b171c0ca093316e086383b1b9c90cc0f41b71,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f406346dcb578926158__e87145fd08705723.json,si,no,no,no,no,,,,,,,,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
010120047,01,DISTRITO CAPITAL,01,BLVNO LIBERTADOR,20,SAN PEDRO,ESCUELA NACIONAL BOLIVARIANA ALI PRIMERA,0,,3937,https://regionales.macedoniadelnorte.com/distrito-capital/blvno-libertador/san-pedro/escuela-nacional-bolivariana-ali-primera,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f406346dcb5789265b4,f3496e88fbe66942b0b177c02c0e95cbdfe69e5a75c76b11b49490e49e522f71,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f406346dcb5789265b4__8ccd61a1ed790017.json,si,no,no,no,no,,,,,,,,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
020601037,02,ANZOATEGUI,06,FREITES,01,CM. CANTAURA,ESCUELA UNITARIA EL MEREY,0,,134,https://regionales.macedoniadelnorte.com/anzoategui/freites/cm-cantaura/escuela-unitaria-el-merey,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f406346dcb578926bfe,0b17f7108e8ce8ee09638aa3bca4fbbd368d85c444a0d7645b759497c76f3b5d,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f406346dcb578926bfe__0970beeb7d3016a4.json,si,no,si,si,no,,,,73,1,74,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
020902002,02,ANZOATEGUI,09,MIRANDA,02,ATAPIRIRE,ESCUELA BASICA SAN SIMON,1,249,249,https://regionales.macedoniadelnorte.com/anzoategui/miranda/atapirire/escuela-basica-san-simon,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f406346dcb578926dfa,135967e3c9d56bd90a02b211c9e98dcdf4259a576f07fddbc8b9d396ad2c9a09,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f406346dcb578926dfa__16a6adf89abf3366.json,si,si,si,si,no,,249,1,240,1,241,1,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
021002002,02,ANZOATEGUI,10,MONAGAS,02,PIAR,ESCUELA ESTADAL SIN NUMERO,0,,115,https://regionales.macedoniadelnorte.com/anzoategui/monagas/piar/escuela-estadal-sin-numero,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f406346dcb578926e48,5cb147400dcce74ba439d06ed748f25ca95a9ca3fac920971fc7ac438458dcaa,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f406346dcb578926e48__2e26e9cfe24dd77c.json,si,si,si,si,no,,115,1,169,1,174,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
021006002,02,ANZOATEGUI,10,MONAGAS,06,ZUATA,ESCUELA UNITARIA LA MUCHACHA,0,,138,https://regionales.macedoniadelnorte.com/anzoategui/monagas/zuata/escuela-unitaria-la-muchacha,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f406346dcb578926e6e,500e42340ed10bf9ef60d2c61f3f4ef61616e8079f2dacc08921b679bf8dec1a,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f406346dcb578926e6e__f01ca101ca9beff8.json,si,si,si,si,no,,138,1,159,1,163,1,pendiente,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
021501016,02,ANZOATEGUI,15,GUANTA,01,GUANTA,UNIDAD EDUCATIVA CIUDAD DE GUANTA,3,,2152,https://regionales.macedoniadelnorte.com/anzoategui/guanta/guanta/unidad-educativa-ciudad-de-guanta,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f416346dcb5789271b7,2f6642e4338744d2ad6279fade92974417798ac759e6bf5d534a1baa941fc38a,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f416346dcb5789271b7__fd3821e5db8d64fe.json,si,si,no,no,no,,2151,3,,,,,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
021601004,02,ANZOATEGUI,16,PIRITU,01,PIRITU,ESCUELA BOLIVARIANA EL MEREY,1,760,760,https://regionales.macedoniadelnorte.com/anzoategui/piritu/piritu/escuela-bolivariana-el-merey,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f416346dcb578927223,c658f7b1b4aa06ec9395660e80bcb9b5650eddbb04a0914e6032c991c4fe1535,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f416346dcb578927223__9d60d72454832277.json,si,si,si,si,no,,760,1,613,1,602,2,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
021601010,02,ANZOATEGUI,16,PIRITU,01,PIRITU,CENTRO DE EDUCACION INICIAL PEDRO CELESTINO MUÑOZ,2,,1955,https://regionales.macedoniadelnorte.com/anzoategui/piritu/piritu/centro-de-educacion-inicial-pedro-celestino-munoz,https://regionales.macedoniadelnorte.com/api/centros?parroquiaId=681f4f416346dcb578927223,c658f7b1b4aa06ec9395660e80bcb9b5650eddbb04a0914e6032c991c4fe1535,backend/data/2025/regionales_api_cache/api_centros_parroquiaId_681f4f416346dcb578927223__9d60d72454832277.json,si,si,si,si,no,,1956,2,2207,3,2232,4,recuperable,Centro presente en Regionales 2025 y ausente del TM Asamblea 2025.
